"0","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_000_000","うぺぺ？<hex:02100103>オラに何か御用でもあるっぺか？"
"1","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_Q1_000_000","何を聞く？"
"2","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_A1_000_001","あなたのことを教えてほしい"
"3","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_A1_000_002","ここはどんなところだ？"
"4","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_A1_000_004","キャンセル"
"5","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_000_001","光風院セイゲツの弟子……<hex:02100103>ってことにされてしまった、憐れなナマズオっぺな。<hex:02100103>お茶で酔っ払っていたときに、口約束してしまったっぺよ。"
"6","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_000_002","でもでも、お茶はやめられない……<hex:02100103>そんな欲望に負けやすい弱さがオラの魅力っぺな。"
"7","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_000_010","777年に一度催されるナマズオの祭「大鯰大祭」の祭場っぺよ。<hex:02100103>ギョシンが夢に見た先祖オオナマズ様のお告げに従って、<hex:02100103>7年間もここで祭を催すことになったっぺな。"
"8","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_000_011","ちなみにここ、元はドーロ族の居留地だったらしいっぺよ。<hex:02100103>その主たちが去って、長らく無人だったこの土地を、<hex:02100103>モル族の長老さんが貸してくれたっぺな。"
"9","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_000_020","今はまだ、天幕を修復した程度だけど、<hex:02100103>ゆくゆくは大鯰大祭を、大々的に開催することになるっぺな。<hex:02100103>ちなみにオラは適当に怠けるつもりっぺよ……。"
"10","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_000_030","そして、ついに供物台が作られ、<hex:02100103>大鯰大祭が始まってしまったっぺよ。<hex:02100103>嫌々、ついてきたものの、ちょっと心踊ってしまうっぺな！"
"11","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_000_040","最近じゃあ、御輿まで作られて、<hex:02100103>朝から晩まで、わっしょい、わっしょい♪<hex:02100103>耳に残りすぎて、頭の中がどうにかなりそうっぺな♪"
"12","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_000_050","近頃の評判といえば、<hex:02100103>チミの協力もあって始まった、遊牧民風の祭っぺよ。"
"13","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_000_051","モル族から競馬、オロニル族からアジム・ブフ、<hex:02100103>ドタール族から弓射を習って、頑張ってるっぺな。<hex:02100103>ただ、どれもナマズオの体型に合わないから大変っぺよ……。"
"14","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_000_060","そんな草原の遊牧民たちから借り受けた、<hex:02100103>大切な土地に、オラたちは建ててしまったっぺよ。"
"15","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_000_061","あんなに、素敵な巨大ナマズオ人形をっぺな♪<hex:02100103>ゆらめく炎、立ち上る湯気、回る目玉に生贄人形……<hex:02100103>素敵すぎて、オラも文明開化寸前っぺよ♪"
"16","TEXT_REGOTHDHOROIROH_00480_GYOFUKU_000_070","はじめは、どうなることかと思った大鯰大祭だけど、<hex:02100103>チミやみんなの協力もあって、四六時中大盛り上がりっぺな♪<hex:02100103>どうやら、オラも完全に文明開化してしまったみたいっぺよ♪"
