"0","已失效的快捷发言","783","0","0","0"
"1","大家好！","9901","11030","1","1"
"2","辛苦了！","9902","11031","2","2"
"3","谢谢！","9903","11032","3","3"
"4","漂亮！","9904","11033","5","4"
"5","汇报对战用额外技能1","9927","11034","6","0"
"6","汇报极限技","9906","11035","7","6"
"7","瞄准攻击补给箱","9907","11036","A","0"
"8","瞄准防御补给箱","9908","11037","B","0"
"9","瞄准奋战补给箱","9909","11038","C","0"
"10","瞄准狼心","9910","11039","D","0"
"11","攻击防护职业","9911","11040","E","0"
"12","攻击治疗职业","9912","11041","F","0"
"13","攻击近战职业","9913","11042","10","0"
"14","攻击远程职业","9914","11043","11","0"
"15","拖住防护职业","9915","11044","13","0"
"16","拖住治疗职业","9916","11045","14","0"
"17","拖住近战职业","9917","11046","15","0"
"18","拖住远程职业","9918","11047","16","0"
"19","我来拾取战章","9919","11048","18","0"
"20","请去拾取战章","9920","11049","19","0"
"21","呼吁进攻","9921","11050","E","21"
"22","呼吁撤退","9922","11051","10","22"
"23","汇报魔力","9923","11052","6","23"
"24","汇报技力","9924","11053","9","0"
"25","攻击目标","9925","11054","B","25"
"26","干扰目标","9926","11055","C","26"
"27","汇报对战用额外技能2","9928","11056","7","0"
"28","呼吁集中攻击目标","9935","11057","1C","0"
"29","呼吁停止集中攻击","9936","11058","1D","0"
"30","道歉","9965","11713","4","30"
"31","自身前进","9966","11714","9","31"
"32","自身后撤","9967","11715","A","32"
"33","我来押运战术水晶","9968","11716","11","33"
"34","请去押运战术水晶","9969","11717","12","34"
"35","掩护目标","9964","11718","D","35"
"36","自身发动极限技","9970","14904","8","36"
"37","呼吁集合","9971","14905","F","37"
