"4500","以太绿金戒指","0","","0","0","1","0","0","","以太绿金戒指","54495","47","7","4","0","43","0","12","5","31250","1","False","True","False","True","4416","21","False","False","False","0","2","0","11","5","21800","6147","False","False","0","45","0","1","1","0","0","7","1, 2, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","1","1","1","6","2","6","0","0","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","False","False","1","True"
"4501","绿金巧匠戒指","0","","0","0","1","0","0","","绿金巧匠戒指","54404","47","1","4","0","43","42","12","5","58320","1","False","False","False","True","3840","41","True","False","False","0","2","0","11","5","21800","2895","False","False","0","47","0","1","1","0","0","9","1, 2, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","0","0","11","13","0","0","0","0","0","0","0","0","0","0","1","0","21","1","24","1","11","2","0","0","0","0","0","0","12","1","True","False","0","True"
"4502","红电气石戒指","0","","0","0","1","0","0","","红电气石戒指","54421","49","1","4","0","43","42","12","5","19320","1","False","False","False","True","4586","43","True","False","False","0","2","0","11","5","21800","4591","False","False","0","49","0","1","1","0","0","10","2, 9, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","0","0","1","5","45","10","0","0","3","7","0","0","0","0","1","0","21","1","24","1","1","1","45","1","0","0","3","1","2","1","True","False","0","True"
"4503","以太红电气石戒指","0","","0","0","1","0","0","","以太红电气石戒指","54487","49","7","4","0","43","0","12","5","19250","1","False","True","False","True","5274","22","False","False","False","0","2","0","11","5","21800","6147","False","False","0","47","0","1","1","0","0","10","2, 9, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","1","1","1","6","0","0","0","0","0","0","0","0","3","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","False","False","1","True"
"4504","锆石戒指","0","","0","0","1","0","0","","锆石戒指","54425","49","1","4","0","43","42","12","5","40320","1","False","False","False","True","4586","43","True","False","False","0","2","0","11","5","21800","3451","False","False","0","49","0","1","1","0","0","5","2, 14, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","0","0","4","5","44","10","0","0","3","6","0","0","0","0","1","0","21","1","24","1","4","1","44","1","0","0","3","1","8","1","True","False","0","True"
"4505","以太锆石戒指","0","","0","0","1","0","0","","以太锆石戒指","54488","49","7","4","0","43","0","12","5","40250","1","False","True","False","True","5274","22","False","False","False","0","2","0","11","5","21800","6147","False","False","0","47","0","1","1","0","0","5","2, 14, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","1","1","4","6","0","0","0","0","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","False","False","1","True"
"4506","碧玺戒指","0","","0","0","1","0","0","","碧玺戒指","54423","49","1","4","0","43","42","12","5","47320","1","False","False","False","True","4586","43","True","False","False","0","2","0","11","5","21800","3789","False","False","0","49","0","1","1","0","0","6","2, 12, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","0","0","5","5","6","10","0","0","3","6","0","0","0","0","1","0","21","1","24","1","5","1","6","1","0","0","3","1","9","1","True","False","0","True"
"4507","以太碧玺戒指","0","","0","0","1","0","0","","以太碧玺戒指","54490","49","7","4","0","43","0","12","5","47250","1","False","True","False","True","5274","22","False","False","False","0","2","0","11","5","21800","6147","False","False","0","47","0","1","1","0","0","6","2, 12, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","1","1","5","6","0","0","0","0","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","False","False","1","True"
"4508","琥珀戒指","0","","0","0","1","0","0","","琥珀戒指","54424","49","1","4","0","43","42","12","5","8320","1","False","False","False","True","4586","43","True","False","False","0","2","0","11","5","21800","2686","False","False","0","49","0","1","1","0","0","1","2, 11, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","0","0","3","7","19","10","0","0","1","5","0","0","0","0","1","0","21","1","24","1","3","1","19","1","0","0","1","1","3","1","True","False","0","True"
"4509","以太琥珀戒指","0","","0","0","1","0","0","","以太琥珀戒指","54489","49","7","4","0","43","0","12","5","8250","1","False","True","False","True","5274","22","False","False","False","0","2","0","11","5","21800","6147","False","False","0","47","0","1","1","0","0","1","2, 11, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","1","1","3","8","0","0","0","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","False","False","1","True"
"4510","尖晶石戒指","0","","0","0","1","0","0","","尖晶石戒指","54426","49","1","4","0","43","42","12","5","30320","1","False","False","False","True","4586","43","True","False","False","0","2","0","11","5","21800","3582","False","False","0","49","0","1","1","0","0","12","2, 13, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","0","0","2","5","27","10","0","0","3","7","0","0","0","0","1","0","21","1","24","1","2","1","27","1","0","0","3","1","6","1","True","False","0","True"
"4511","以太尖晶石戒指","0","","0","0","1","0","0","","以太尖晶石戒指","54486","49","7","4","0","43","0","12","5","30250","1","False","True","False","True","5274","22","False","False","False","0","2","0","11","5","21800","6147","False","False","0","47","0","1","1","0","0","12","2, 13, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","1","1","2","6","0","0","0","0","0","0","0","0","3","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","False","False","1","True"
"4512","绿松石戒指","0","","0","0","1","0","0","","绿松石戒指","54422","49","1","4","0","43","42","12","5","47320","1","False","False","False","True","4586","43","True","False","False","0","2","0","11","5","21800","3649","False","False","0","49","0","1","1","0","0","6","2, 10, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","0","0","5","5","46","10","0","0","3","6","0","0","0","0","1","0","21","1","24","1","5","1","46","1","0","0","3","1","9","1","True","False","0","True"
"4513","以太绿松石戒指","0","","0","0","1","0","0","","以太绿松石戒指","54485","49","7","4","0","43","0","12","5","47250","1","False","True","False","True","5274","22","False","False","False","0","2","0","11","5","21800","6147","False","False","0","47","0","1","1","0","0","6","2, 10, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","1","1","5","6","0","0","0","0","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","False","False","1","True"
"4514","黑珍珠戒指","0","","0","0","1","0","0","","黑珍珠戒指","54429","49","1","4","0","43","42","12","5","40320","1","False","False","False","True","4586","43","True","False","False","0","2","0","11","5","21800","4046","False","False","0","49","0","1","1","0","0","8","2, 16, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","0","0","4","5","5","5","22","10","3","6","0","0","0","0","1","0","21","1","24","1","4","1","5","1","22","1","3","1","7","1","True","False","0","True"
"4515","以太黑珍珠戒指","0","","0","0","1","0","0","","以太黑珍珠戒指","54501","49","7","4","0","43","0","12","5","40250","1","False","True","False","True","5274","22","False","False","False","0","2","0","11","5","21800","6147","False","False","0","47","0","1","1","0","0","8","2, 16, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","1","1","4","6","5","6","0","0","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","False","False","1","True"
"4516","盗龙革指环","0","","0","0","1","0","0","","盗龙革指环","54432","50","1","4","0","43","42","12","5","31320","1","False","False","False","True","3801","45","True","False","False","0","2","0","12","5","21800","4484","False","False","0","50","0","1","1","0","0","9","3, 6, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","0","0","10","20","0","0","0","0","0","0","0","0","0","0","1","0","21","1","24","1","10","2","0","0","0","0","0","0","11","1","True","False","0","True"
"4517","深红龙船戒指","0","","0","0","1","0","0","","深红龙船戒指","54436","55","3","4","0","43","0","12","5","62220","1","True","True","False","True","1000","0","False","False","False","0","2","0","11","5","21800","0","False","False","0","50","0","1","1","1","1","9","5, 1, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","1","1","10","22","69","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","False","False","0","True"
"4518","金边天平戒指","0","","0","0","1","0","0","","金边天平戒指","54437","55","3","4","0","43","0","12","5","62230","1","True","True","False","True","1000","0","False","False","False","0","2","0","11","5","21800","0","False","False","0","50","0","1","1","3","3","9","7, 1, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","1","1","10","22","69","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","False","False","0","True"
"4519","双蛇百合戒指","0","","0","0","1","0","0","","双蛇百合戒指","54438","55","3","4","0","43","0","12","5","62210","1","True","True","False","True","1000","0","False","False","False","0","2","0","11","5","21800","0","False","False","0","50","0","1","1","2","2","9","6, 1, 0, 0","0, 0, 0, 0","0","0","0","0","0","0","0","0","1","1","10","22","69","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","False","False","0","True"
