"0","0.0","0.0"
"1","5.0","0.0"
"2","9.0","15.5"
"3","16.2","26.0"
"4","26.5","0.0"
"5","33.0","36.5"
"6","38.0","0.0"
"7","42.5","0.0"
"8","48.5","55.0"
"9","61.0","64.5"
"10","65.0","0.0"
"11","71.0","0.0"
"12","76.0","0.0"
"13","80.5","0.0"
"14","86.2","0.0"
"15","96.5","0.0"
"16","101.5","106.0"
"17","111.0","116.0"
"18","138.0","140.0"
"19","143.1","148.5"
"20","151.0","0.0"
"21","156.0","159.5"
"22","161.0","166.2"
"23","168.5","174.0"
"24","175.0","180.0"
"25","181.5","0.0"
"26","189.1","191.5"
"27","204.2","207.5"
"28","1000.0","0.0"
"29","1000.0","0.0"
"30","1000.0","0.0"
