"400","ミニオン「マメット・ポロム」を呼び出す。<hex:02100103>古の英雄を模した魔法人形。ブレイク！","古の英雄「ポロム」を模した魔法人形。双子であるパロムと同様に、天才的な魔法の才能を示した。白魔法を得意とし、旅の仲間たちを癒やすことで大きく貢献。さらにパロムとふたり、命がけで仲間を救ったと語られている","ブレイク！","うそなき","範囲内にいる敵に、ATK150のダメージを与え、さらにDEFを30%低下させる。<hex:02100103><hex:024804F201F803><hex:024904F201F903>効果時間：<hex:0249020103><hex:0248020103>6秒","10","30","2","False","False","False","True","False","1"
"401","ミニオン「マメット・エッジ」を呼び出す。<hex:02100103>古の英雄を模した魔法人形。怒りってモンを……見せてやるぜえ！","古の英雄「エッジ」を模した魔法人形。伝説によれば、とある国の第一王子であり、なおかつ忍術を用いた戦いのエキスパートであったという。王族らしからぬ振る舞いを示すこともあったが、熱血漢として民にも愛されたようだ","見セテヤルゼエ！","にんじゅつ","範囲内にいる味方のATKを25上昇させる。<hex:02100103><hex:024804F201F803><hex:024904F201F903>効果時間：<hex:0249020103><hex:0248020103>6秒","85","30","4","False","False","True","False","False","3"
"402","ミニオン「マメット・リディア」を呼び出す。<hex:02100103>古の英雄を模した魔法人形。大事なのは……心","古の英雄「リディア」を模した魔法人形。希少とされる純粋なる召喚士であり、幼くして幻界に渡って幻獣たちに育てられたという逸話を持つ。それゆえに、心通わせた幻獣たちを召喚する術に長けていたらしい。大事なのは……心","大事ナノハ…心","しょうかん","シールドが破壊されていた場合、復活させる。","80","80","3","False","False","False","True","False","9"
"403","ミニオン「マメット・ローザ」を呼び出す。<hex:02100103>古の英雄を模した魔法人形。いっしょに、たたかいましょう","古の英雄「ローザ」を模した魔法人形。さる王国の貴族令嬢であり、思いを寄せる人を助けるために白魔道士の道を歩むことに。また、弓術の腕前もかなりのものであったとも伝えられている。いっしょに、たたかいましょう","イッショニ、タタカイマショウ","いのり","範囲内にいる味方のHPを、100回復する。味方のタイプが「ドール」の場合は、HPが150回復する。","30","50","2","False","True","False","False","False","7"
"404","ミニオン「セイブ・ザ・プリンセス」を呼び出す。<hex:02100103>セイブ・ザ・クイーンに似た魔法仕掛けの玩具","グンヒルド・ディルーブラムの地下遺跡群にて発見された魔法仕掛けの玩具。その姿は、闘神セイブ・ザ・クイーンに良く似ている。古代ボズヤ人が、アラグの軍勢から民を護った女王の姿を讃えて作ったものであろうか","コロコロ、キィ～！","ゴッド・セイブ・ザ・プリンセス","範囲内にいる味方の特殊技ポイントを10上昇させる。ただし特殊技が同効果なミニオンを除く。","45","40","3","False","True","True","True","False","3"
"405","ミニオン「ドリッピー」を呼び出す。<hex:02100103>小さなノッケンの幼体。家出して、外の世界に旅立つ","ノッケンの幼体。アバラシア山脈に降り注ぐ雨水の中から生まれ、サリャク河を下り、マトーヤのアトリエにたどり着いた。しかし、冒険者とノッケンたちの戦いを見て、家出を決意。広い広い外の世界へと冒険の旅に出たのである","トゥルルル、アワワ～！","アワワ～！","最も近い敵軍のアルカナストーンに、5%のダメージを与える。","85","40","3","False","False","True","False","False","8"
"406","ミニオン「トライク」を呼び出す。<hex:02100103>トリケラトプスの幼体","トリケラトプスの幼体。有毒植物を食べてしまい倒れていたところを、ディアデム諸島を視察していたオールヴァエル・ド・アインハルトが発見。連れ帰って介抱したところ、人に懐いたという。心優しき者の後を付いて回る賢さを秘めている","トリ、ケラト、プス！","ぺたんこ","範囲内にいる敵にかかっている、強化効果をすべて打ち消す。","20","50","2","False","False","True","True","False","6"
"407","ミニオン「ゴールデンビーバー」を呼び出す。<hex:02100103>謎の存在。なぜ金色なのか、深く考えてはいけない","リェー・ギア・ダンジョンに現れる謎の存在。誰かが望む物を手に入れたとき、ビーバーが現れる。ならば、あなたが富を求めて宝の地図を手にした時、この出会いは約束されていたのだ。だから細かいことを、深く考えるのはやめておこう","テケ、スタイシ、ルク…","ガウ、ガウガウガウ！","敵軍のシールドに70%のダメージを与える。すでに破壊されている場合は効果はない。","60","60","2","False","False","True","False","False","8"
"408","ミニオン「ガル」を呼び出す。<hex:02100103>ラノシア生まれのカモメ。魚の群れを見つけるのが上手い","ラノシア生まれのカモメ。より効率的に、ごちそうにありつくため、漁師ギルドの大型漁船「エンデバー号」を追うようになる。やがて、船長や冒険者たちに認められ、漁師ギルドの名誉会員と呼ばれるようになったのだった","キュッキュッ、キュー","魚群探知","範囲内にいる味方の移動速度を35%上昇させる。<hex:02100103><hex:024804F201F803><hex:024904F201F903>効果時間：<hex:0249020103><hex:0248020103>6秒","30","30","3","False","False","True","False","False","3"
"409","ミニオン「アントイーター」を呼び出す。<hex:02100103>オオアリクイの子。蟻は食べるが夫は食べない","オオアリクイの子。小さな蟻を大量に食べることで成長し、やがてララフェルを凌駕する巨体を手に入れることになる。ある地域では、頻繁に出稼ぎ労働者の男たちを殺害することから、ウィドウメイカーと呼ばれ恐れられているらしい","キシャアァァァ！","ウィドウメイカー","範囲内にいる敵のDEFを、50%低下させる。<hex:02100103><hex:024804F201F803><hex:024904F201F903>効果時間：<hex:0249020103><hex:0248020103>15秒","35","45","2","False","True","False","True","False","4"
"410","ミニオン「ドルフィン・カフ」を呼び出す。<hex:02100103>とても賢いイルカの子。おそらく、貴方よりも賢い","とても賢いイルカの子。あるシャーレアンの生物学者によれば、イルカは、この星で2番目に高い知性を持つ生物だという。事実、この子も星に迫る危機を察知し、脱出方法を探して冒険者に付いていくことにしたようだ","いままで魚をありがとう","さようなら","範囲内にいる敵の移動速度を50%低下させる。<hex:02100103><hex:024804F201F803><hex:024904F201F903>効果時間：<hex:0249020103><hex:0248020103>5秒","60","45","3","False","False","False","True","False","4"
"411","ミニオン「魔導プレデター追従型」を呼び出す。<hex:02100103>魔導プレデターを模したからくり模型。帝国軍一般兵付き","魔導プレデターを模したからくり模型。テロフォロイの軍勢に混じって進撃してきたところを回収された。どうやら帝都ガレマルドで販売されていた玩具のようだが、いかにしてパガルザンまでやって来たのかは、わからない","ガシャン、ガシャン！","格闘戦クロー","敵軍のサーチ・アイへ90%のダメージを与える。すでに破壊されている場合は効果はない。","70","50","3","False","False","True","False","False","8"
"412","ミニオン「セニョリータ・サボテンダー」を呼び出す。<hex:02100103>マンダヴィル・ゴールドソーサーの景品。愛らしさは針千本級","セニョール・サボテンダーの姪、という触れ込みの魔法人形。ゴールドソーサーのオーナーであり、エオルゼア最強の彫金師として知られるゴッドベルト氏の手により、ひとつひとつ手作りで作られているらしい","セニョリータ！","セニョリータ！","ミニオン召喚時のリキャストを半分にする。<hex:02100103><hex:024804F201F803><hex:024904F201F903>効果時間：<hex:0249020103><hex:0248020103>10秒","70","35","2","False","True","False","True","False","9"
"413","ミニオン「ベンベン」を呼び出す。<hex:02100103>海底で発見された謎めいた四角錐。なぜか動く","この謎めいた四角錐の物体は、南方大陸の神話に登場する「永遠」を意味する古の丘「ベンベン」を象徴する記念物らしい。巨大石造墳墓の頂に据えられていたはずのシロモノだが、なぜか遠く離れた海の底で発見された","ベンベン！","ハーイ！","最も近い敵軍のアルカナストーンに、5%のダメージを与える。","35","30","2","True","False","False","False","False","8"
"414","ミニオン「放浪者の焚き火」を呼び出す。<hex:02100103>旅先で焚き火を熾すための石組み一式","旅先で焚き火を熾すための石組み一式。焚き火は、夜の闇を払い人の心に安らぎをもたらし、寒さから逃れる術を与えてくれる。だが、焼きマシュマロを作ること以上に、重要な焚き火の使い道はないと考えられている","めらめらめら……","ぬくもり","範囲内にいる味方のHPを、200回復する。味方のタイプが「ガジェット」の場合は、HPが250回復する。","20","45","1","False","False","False","True","False","7"
"415","ミニオン「機械生命体」を呼び出す。<hex:02100103>塔上層で発見された機械生命体に似た何か","塔の上層で発見された機械仕掛けの人形。その姿は、小型短足の機械生命体によく似た姿を有しているが、サイズなどが明らかに異なる。ただひたすらに追従してくるだけで、害意はないように見えるが……","…………","攻撃","範囲内にいる敵に、ATK30のダメージを与えノックバックさせる。","30","70","2","False","False","True","True","False","1"
"416","ミニオン「マメット・ライナ」を呼び出す。<hex:02100103>ライナを模した魔法人形。返事は敬礼で！","ライナを模した魔法人形。本人に記憶はないのだが、とある酒場でドワーフ族の職人と呑み交わしたときに、口が滑ってモデルとなる許可をしてしまったらしい。ともかく、敬意の払い方も含めて、再現度は抜群となっている","返事ハ敬礼デ！","衛兵団長の決意","特殊技ポイントを使用したミニオンのDEFを40上昇させる。<hex:02100103><hex:024804F201F803><hex:024904F201F903>効果時間：<hex:0249020103><hex:0248020103>10秒","60","45","3","False","True","False","True","False","3"
"417","ミニオン「マメット・ルナル」を呼び出す。<hex:02100103>ルナルを模した魔法人形。姐さん……","ルナルを模した魔法人形。夜の民とクリスタリウムとの間で、正式な通商条約が結ばれたことを記念して作られた。その懐に小さな造花が仕込まれているのは、彼自身が世界を渡れなくとも、という職人の計らいなのかもしれない","姐サン……","白い花","範囲内にいる味方の特殊技ポイントを10上昇させる。ただし特殊技が同効果なミニオンを除く。","65","75","2","False","False","False","True","False","3"
"418","ミニオン「マメット・グンヒルド」を呼び出す。<hex:02100103>女王グンヒルドを模した魔法人形","女王グンヒルドを模した魔法人形。その手には「放浪の末、私は新たな愛を知った。しかし、我が愛は儚い光と共に消えてしまった」と記された紙を握っていた。この偏執狂的な作り込みには、どことなく見覚えがあるが……","民ヲ護ルノガ、我ガ務メ","ホワイトクイーン","トラップを配置する。10秒後トラップ発動ボタンにより起爆可能。範囲内にいる敵の移動速度を70%低下させる。<hex:02100103><hex:024804F201F803><hex:024904F201F903>効果時間：<hex:0249020103><hex:0248020103>20秒","75","55","2","True","False","False","False","False","2"
"419","ミニオン「オートマトン９Ｓ」を呼び出す。<hex:02100103>塔上層で発見された黒い小型オートマトン","塔の上層で発見された黒い小型オートマトン。その姿は「ヨルハ機体九号Ｓ型」を名乗るアンドロイドによく似ている。彼らは何を想い、何のために自らの犠牲も厭わずに戦い続けたのか。その答えを知る者はいない……","…………","儚い優しさ","範囲内にいる敵に、ATK120のダメージを与える。さらに特殊技ポイントを使用したミニオンのATKを20上昇させる。<hex:02100103><hex:024804F201F803><hex:024904F201F903>効果時間：<hex:0249020103><hex:0248020103>6秒","60","50","4","False","False","True","False","False","1"
