"0","0",""
"1","2","蒼天的伊修加爾德"
"2","3","紅蓮的解放者"
"3","4","漆黑的反叛者"
"4","1","大型任務"
"5","2","團隊任務"
"6","3","討伐殲滅戰"
"7","1","非著名調查員"
"8","3","聖恩達利姆神學院記"
"9","2","主線任務外傳"
"10","1","刻木匠"
"11","2","鍛鐵匠"
"12","3","鑄甲匠"
"13","4","雕金匠"
"14","5","製革匠"
"15","6","裁衣匠"
"16","7","鍊金術士"
"17","8","烹調師"
"18","1","採礦工"
"19","2","園藝工"
"20","3","捕魚人"
"21","1","劍術師 騎士"
"22","2","斧術師 戰士"
"23","1","幻術師 白魔法師"
"24","22","秘術師 召喚師"
"25","1","格鬥家 武僧"
"26","2","槍術師 龍騎士"
"27","3","雙劍師 忍者"
"28","11","弓箭手 吟遊詩人"
"29","21","咒術師 黑魔法師"
"30","1","新生艾奧傑亞"
"31","3","暗黑騎士"
"32","4","絕槍戰士"
"33","2","學者"
"34","3","占星術士"
"35","4","武士"
"36","12","機工士"
"37","13","舞者"
"38","0",""
"39","23","赤魔法師"
"40","99","青魔法師"
"41","0","防護職業"
"42","0","治療職業"
"43","0","進攻職業"
"44","4","職能劇情任務"
"45","5","虛無界再生計劃"
"46","5","曉月的終焉"
"47","4","賢者"
"48","5","收割者"
"49","0",""
