"0","","0","0","0","0","False"
"1","武器","60102","0","0","0","False"
"2","製作工具","60113","0","0","0","False"
"3","採集工具","60120","0","0","0","False"
"4","防具","60126","0","0","0","False"
"5","飾品","60135","0","0","0","False"
"6","藥品食品","60136","0","0","0","False"
"7","素材","60137","0","0","0","False"
"8","其他","60159","0","0","0","False"
"9","格鬥武器","60101","1","6","2","False"
"10","單手劍","60102","1","0","1","False"
"11","大斧","60103","1","1","3","False"
"12","弓","60105","1","9","5","False"
"13","長槍","60104","1","4","4","False"
"14","咒杖","60108","1","12","7","False"
"15","幻杖","60107","1","15","6","False"
"16","魔導書","60109","1","13","1A","False"
"17","盾","60110","2","0","0","False"
"18","投擲武器","60111","0","0","0","False"
"19","刻木工具","60112","1","19","8","False"
"20","鍛鐵工具","60113","1","20","9","False"
"21","鑄甲工具","60114","1","21","A","False"
"22","雕金工具","60115","1","22","B","False"
"23","製革工具","60116","1","23","C","False"
"24","裁衣工具","60117","1","24","D","False"
"25","鍊金工具","60118","1","25","E","False"
"26","烹調工具","60119","1","26","F","False"
"27","採礦工具","60120","1","27","10","False"
"28","園藝工具","60121","1","28","11","False"
"29","捕魚用具","60122","1","29","12","False"
"30","釣餌","60123","1","30","12","False"
"31","頭部防具","60124","2","1","0","False"
"32","內衣","60125","0","0","0","False"
"33","身體防具","60126","2","2","0","False"
"34","內褲","60127","0","0","0","False"
"35","腿部防具","60128","2","4","0","False"
"36","手部防具","60129","2","3","0","False"
"37","腳部防具","60130","2","5","0","False"
"38","腰部防具","60131","0","0","0","False"
"39","項鍊","60132","2","7","0","False"
"40","耳飾","60133","2","6","0","False"
"41","手鐲","60134","2","8","0","False"
"42","戒指","60135","2","9","0","False"
"43","藥品","60136","3","0","0","False"
"44","食材","60137","3","1","0","False"
"45","食品","60146","3","2","0","False"
"46","水產品","60138","3","3","0","False"
"47","石材","60139","3","4","0","False"
"48","金屬","60140","3","5","0","False"
"49","木材","60141","3","6","0","False"
"50","布料","60142","3","7","0","False"
"51","皮革","60143","3","8","0","False"
"52","骨材","60144","3","9","0","False"
"53","鍊金原料","60145","3","10","0","False"
"54","染料","60147","3","11","0","False"
"55","元件","60148","3","12","0","False"
"56","一般家具","60164","4","3","0","False"
"57","魔晶石","60150","3","13","0","False"
"58","水晶","60151","3","14","0","False"
"59","催化劑","60152","3","15","0","False"
"60","雜貨","60153","3","16","0","False"
"61","靈魂水晶","60157","0","0","0","False"
"62","箭","60153","0","0","0","False"
"63","任務道具","60158","0","0","0","False"
"64","其他","60159","0","0","0","False"
"65","室外建材","60160","4","0","0","False"
"66","室內建材","60161","4","1","0","False"
"67","庭具","60168","4","2","0","False"
"68","椅子床鋪","60165","4","4","0","False"
"69","桌臺","60162","4","5","0","False"
"70","桌上","60163","4","6","0","False"
"71","壁掛","60166","4","7","0","False"
"72","地毯","60167","4","8","0","False"
"73","雙劍","60106","1","8","1D","False"
"74","雜貨（季節活動）","60154","3","17","0","False"
"75","寵物","60155","3","19","0","True"
"76","雙手劍","60170","1","2","20","False"
"77","火槍","60172","1","10","1F","False"
"78","天球儀","60171","1","17","21","False"
"79","飛空艇/潛水艇元件","60169","3","20","0","False"
"80","管弦樂琴關聯物品","60173","3","21","0","True"
"81","栽培用品","60174","4","9","0","False"
"82","繪畫作品","60175","4","10","0","False"
"83","武士刀","60177","1","7","22","False"
"84","刺劍","60176","1","14","23","False"
"85","魔導書（學者專用）","60178","1","16","1C","False"
"86","槍刃","60181","1","3","25","False"
"87","投擲武器","60182","1","11","26","False"
"88","雙手鐮刀","60183","1","5","27","False"
"89","賢具","60184","1","18","28","False"
"90","雜貨（學習/收錄類）","60185","3","18","0","True"
"91","","0","0","0","0","False"
"92","","0","0","0","0","False"
"93","","0","0","0","0","False"
"94","","0","0","0","0","False"
"95","","0","0","0","0","False"
"96","","0","0","0","0","False"
"97","","0","0","0","0","False"
"98","","0","0","0","0","False"
"99","","0","0","0","0","False"
"100","","0","0","0","0","False"
