"0",""
"1","狼獄水上競技場"
"2","狼獄水上競技場（非段位賽）"
"3","紛爭前線"
"4","九宮幻卡"
"5","萌寵之王"
"6","迷宮挑戰（新生艾奧傑亞）"
"7","迷宮挑戰（蒼天的伊修加爾德）"
"8","討伐殲滅戰（新生艾奧傑亞）"
"9","討伐殲滅戰（蒼天的伊修加爾德）"
"10","大型任務（新生艾奧傑亞）"
"11","大型任務（蒼天的伊修加爾德）"
"12","大型任務：零式（新生艾奧傑亞）"
"13","大型任務：零式（蒼天的伊修加爾德）"
"14","團隊任務（新生艾奧傑亞）"
"15","團隊任務（蒼天的伊修加爾德）"
"16","大型任務（紅蓮的解放者）"
"17","大型任務：零式（紅蓮的解放者）"
"18","團隊任務（紅蓮的解放者）"
"19","討伐殲滅戰：高難度（新生艾奧傑亞）"
"20","討伐殲滅戰：高難度（蒼天的伊修加爾德）"
"21","討伐殲滅戰（紅蓮的解放者）"
"22","討伐殲滅戰：高難度（紅蓮的解放者）"
"23","烈羽爭鋒"
"24","狼獄水上競技場（自定賽）"
"25","狼獄水上競技場（戰隊自定賽）"
"26","陸行鳥競賽"
"27","陸行鳥競賽（僅限小隊成員）"
"28","每日挑戰"
"29","多瑪方城戰"
"30","迷宮挑戰（紅蓮的解放者）"
"31","迷宮挑戰（漆黑的反叛者）"
"32","討伐殲滅戰（漆黑的反叛者）"
"33","討伐殲滅戰：高難度（漆黑的反叛者）"
"34","大型任務（漆黑的反叛者）"
"35","大型任務：零式（漆黑的反叛者）"
"36","團隊任務（漆黑的反叛者）"
"37","迷宮挑戰（曉月的終焉）"
"38","討伐殲滅戰（曉月的終焉）"
"39","討伐殲滅戰：高難度（曉月的終焉）"
"40","大型任務（曉月的終焉）"
"41","大型任務：零式（曉月的終焉）"
"42","團隊任務（曉月的終焉）"
"43","水晶衝突"
"44","水晶衝突（自定賽）"
