"0","","","","","","0","0","False","False","1","False","0","0","0","0","0","0","0","0","0","0","0","0","0","108","0","0","0","FF","False","0","0","0","0","True","True","False","False","0","0","False","0","False","True","0"
"1","隨機任務：練級","練級（Leveling）","","隨機參加當前可以參加的迷宮或輕銳小隊用討伐戰。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外經驗值與金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的經驗值與金幣的差額會在最後作為報酬一併獲得。<hex:02100103>※軍票的報酬量由參加時的職業與等級決定。<hex:02100103>※隨機任務的獎勵一天只能獲得一次。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。","對應任務：輕銳小隊用迷宮、輕銳小隊用討伐戰","0","0","False","True","1","False","16","16","0","0","112034","1","0","100","20","0","0","0","4","142","2","0","0","0","True","1","0","90","0","True","True","False","False","2","0","False","0","False","True","0"
"2","隨機任務：50級/60級/70級/80級","50級/60級/70級/80級","","隨機參加已經開放的50級或60級或70級或80級迷宮。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外經驗值與金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的經驗值與金幣的差額會在最後作為報酬一併獲得。<hex:02100103>※隨機任務的獎勵一天只能獲得一次。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。","對應任務：輕銳小隊用50級/60級/70級/80級迷宮","0","0","False","True","1","False","50","50","45","0","112035","2","100","120","0","0","0","0","3","142","2","0","0","1","True","1","0","90","0","True","True","False","False","2","0","False","0","False","True","0"
"3","隨機任務：主線任務","主線任務（Main Scenario）","","隨機參加已經開放的主線劇情任務。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中無法跳過過場動畫。<hex:02100103>※隨機任務中所獲得的額外經驗值與金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的經驗值與金幣的差額會在最後作為報酬一併獲得。<hex:02100103>※隨機任務的獎勵一天只能獲得一次。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。","對應任務：滿編小隊用迷宮","0","0","False","True","1","False","50","50","42","0","112036","3","350","100","50","0","0","0","6","142","2","0","0","2","True","1","0","60","120","True","True","False","False","2","0","False","0","False","True","0"
"4","隨機任務：公會令","公會令（Guildhests）","","隨機參加已經開放的公會令任務。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外經驗值與金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的經驗值與金幣的差額會在最後作為報酬一併獲得。<hex:02100103>※軍票的報酬量由參加時的職業與等級決定。<hex:02100103>※隨機任務的獎勵一天只能獲得一次。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。<hex:02100103>※以4人小隊組隊參加4人用公會令時可以無視職能要求自由組合。","對應任務：公會令","0","0","False","True","1","False","10","10","0","0","112037","4","0","0","0","0","0","0","7","142","3","0","0","3","True","1","0","30","0","True","True","False","False","2","0","False","0","False","True","0"
"5","隨機任務：高難度","高難度（Expert）","","隨機參加已經開放的高難度迷宮。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的金幣的差額會在最後作為報酬一併獲得。<hex:02100103>※隨機任務的獎勵一天只能獲得一次。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。","對應任務：輕銳小隊用高難度迷宮","4","0","False","True","2","False","90","90","605","0","112057","5","0","60","40","0","0","0","1","142","2","0","0","4","True","1","0","90","0","True","True","False","False","2","0","False","0","False","True","0"
"6","隨機任務：討伐殲滅戰","討伐殲滅戰（Trials）","","隨機參加當前能夠加入的滿編小隊用討伐殲滅戰。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務的獎勵一天只能獲得一次。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。","對應任務：滿編小隊用討伐殲滅戰","0","0","False","True","1","False","50","50","90","0","112056","6","0","60","15","0","0","0","5","142","3","0","0","5","True","1","0","60","0","True","True","False","False","2","0","False","0","False","True","0"
"7","每日挑戰：紛爭前線","紛爭前線（Frontline）","","透過每日挑戰：紛爭前線，將會參加當日開放的紛爭前線戰鬥。紛爭前線的戰鬥每日都會變更，可以在下方的資訊中進行確認。<hex:02100103><hex:02100103>※每日挑戰的獎勵一天只能獲得一次。","對應任務：昂薩哈凱爾（競爭戰）","0","0","False","True","3","True","30","30","0","0","112083","0","0","50","20","1000","1000","1500","15","146","24","0","0","6","True","1","28","20","0","True","True","False","False","0","0","False","0","False","True","0"
"8","隨機任務：90級","90級","","隨機參加已經開放的90級迷宮。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的金幣的差額會在最後作為報酬一併獲得。<hex:02100103>※隨機任務的獎勵一天只能獲得一次。<hex:02100103>※組滿規定人數參加時不會獲得「少數職能獎勵」。","對應任務：輕銳小隊用90級迷宮","4","0","False","True","2","False","90","90","575","0","112123","7","0","100","15","0","0","0","2","142","2","0","0","7","True","1","0","90","0","True","True","False","False","2","0","False","0","False","True","0"
"9","隨機任務：指導者","指導者（Mentor）","","隨機參加已經完成的指導者對應任務，僅限已成為戰鬥指導者的玩家使用。成功完成任務後得到的報酬會大幅高於正常途徑參加同樣任務時的報酬。<hex:02100103><hex:02100103>※隨機任務中所獲得的額外金幣報酬由參加時的職業與等級決定，在任務過程中所獲得的金幣的差額會在最後作為報酬一併獲得。<hex:02100103>※隨機任務的獎勵一天只能獲得一次。","對應任務：指導者對應任務","4","0","False","True","2","False","90","90","615","0","112144","8","0","30","10","0","0","0","10","142","1","0","0","8","True","1","0","30","120","True","True","False","False","2","0","False","0","False","True","0"
