"0","0","0","0","0","0","0","0","0","","",""
"1","66060","0","1","30","1","114766","114166","114466","新生エオルゼア 1","","神々に愛されし地「エオルゼア」に、ひとりの冒険者が降り立つ。<hex:02100103>求めるは力か、名誉か、富か、それとも……。<hex:02100103>母なるクリスタルに導かれし光の戦士にして、<hex:02100103>のちに英雄と呼ばれる冒険者の長き旅路が、いま始まろうとしている。"
"2","66060","0","1","30","2","114767","114167","114467","新生エオルゼア 2","","エオルゼア三国を巡り、それぞれが抱える問題の根深さを目の当たりにするなか、<hex:02100103>冒険者は秘密組織「暁の血盟」の一員と出会う。<hex:02100103>異能「超える力」とは何なのか、目にした「幻」は何を意味するのか。<hex:02100103>その真相を知るために、冒険者は彼らの拠点を目指すのだった。"
"3","66060","0","1","30","3","114768","114168","114468","新生エオルゼア 3","","蛮神「イフリート」を巡る問題に対処することで「光の戦士」の再来として、<hex:02100103>注目を集めることになった冒険者は、闇の使徒アシエンと対峙することに。<hex:02100103>エオルゼアで暗躍する彼らの動向を探るべく、<hex:02100103>冒険者は仮面の男「アシエン・ラハブレア」の足取りを追う。"
"4","66060","0","1","30","4","114769","114169","114469","新生エオルゼア 4","","海雄旅団の助力を得て、光の戦士は蛮神「タイタン」の討滅に成功した。<hex:02100103>その傍ら、激闘を密やかに見つめる存在に気づいたヤ・シュトラは、<hex:02100103>ガレマール帝国とアシエンが協力関係にあることを知る。<hex:02100103>そして、今後の方策を練るべく、光の戦士は「砂の家」へと帰還するが……。"
"5","66996","0","1","30","5","114770","114170","114470","第七星暦ストーリー 1","","光の戦士たちが魔導城プラエトリウムでの激戦を制したことにより、<hex:02100103>世界は第七霊災という暗澹たる時代を乗り越え、ついに第七星暦を迎える。<hex:02100103>エオルゼアの救済を掲げる「暁の血盟」にとっても、これは大きな前進となった。<hex:02100103>しかし一方で、組織に注目が集まるがゆえの、新たな問題を抱えることとなる。"
"6","65964","0","1","30","6","114771","114171","114471","第七星暦ストーリー 2","","第七星暦を迎えてなお、エオルゼアは終わりの見えぬ動乱に喘いでいる。<hex:02100103>蛮族と蛮神、バル島の消滅、難民の流入と暴動、そしてクルザスの異端者……。<hex:02100103>アルフィノによって設立された統一先行組織「クリスタルブレイブ」が、<hex:02100103>一手に担いきれぬほど、エオルゼアの抱える課題は山積みとなっていた。"
"7","67205","0","1","1","1","114701","114101","114401","蒼天のイシュガルド 1","","砂蠍衆ロロリトの謀略により、「暁の血盟」の輝きは失われた。<hex:02100103>そして、堕ちた英雄は、失意のアルフィノと共に北方の地「クルザス」に向かう。<hex:02100103>しかし、彼の地を治める宗教都市「イシュガルド」では、<hex:02100103>千年の長きに亘るドラゴン族との戦い、竜詩戦争が続いていた。"
"8","67205","0","1","1","2","114702","114102","114402","蒼天のイシュガルド 2","","ドラゴン族の領域を訪れ、聖竜「フレースヴェルグ」との邂逅を果たした一行は、<hex:02100103>竜詩戦争の始まりに隠された歴史の真実を知ることに。<hex:02100103>かつてあった人と竜との融和、そして人の王による裏切りと対立……<hex:02100103>悲劇の連鎖を止めるため、光の戦士は蒼の竜騎士と邪竜狩りに挑む。"
"9","67783","0","1","1","3","114703","114103","114403","竜詩戦争完結編","","幾多の犠牲を払いながら、光の戦士たちは「アジス・ラー」での決戦に勝利し、<hex:02100103>戦いの因果の一端を断ち斬ることに成功した。<hex:02100103>しかし、争いのすべてが消え去ったわけではない……。<hex:02100103>イシュガルドの前途に困難が待ち受けていることは、誰の目にも明らかであった。"
