"0","すっぴん士","ADV","","30","FF","FF","0","0","FF","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0","0","Adventurer","0","0","0","0","7F","0","0","0","0","0","0","0","0","0","1","0","0","False","False"
"1","剣術士","GLA","剣","30","1","0","1","0","FF","130","100","95","100","90","50","95","100","100","100","100","100","100","100","0","0","0","1","Gladiator","1601","0","1","3","0","1","197","198","199","2","0","0","0","0","1","1","0","False","True"
"2","格闘士","PGL","格","30","0","1","2","0","FF","105","100","100","95","100","45","85","100","100","100","100","100","100","100","0","0","0","2","Pugilist","1680","0","2","3","1","1","200","201","202","22","0","0","0","0","1","3","0","False","True"
"3","斧術士","MRD","斧","30","2","2","3","0","FF","135","100","100","100","90","30","50","100","100","100","100","100","100","100","0","0","0","3","Marauder","1749","0","1","1","2","1","197","198","4240","4","0","0","0","0","1","1","0","False","True"
"4","槍術士","LNC","槍","30","4","3","4","0","FF","110","100","105","100","95","40","60","100","100","100","100","100","100","100","0","0","0","4","Lancer","1819","0","2","2","3","1","200","201","4242","24","0","0","0","0","1","3","0","False","True"
"5","弓術士","ARC","弓","30","3","4","5","0","FF","100","100","85","95","105","80","75","100","100","100","100","100","100","100","0","0","0","5","Archer","1889","0","3","2","4","2","4238","4239","4244","32","0","0","0","0","1","4","0","False","True"
"6","幻術士","CNJ","幻","31","6","5","6","0","FF","100","100","50","95","100","100","105","100","100","100","100","100","100","100","0","0","0","6","Conjurer","1995","0","4","2","5","5","206","207","208","12","0","0","0","0","1","2","2","False","True"
"7","呪術士","THM","呪","31","5","6","7","0","FF","100","100","40","95","95","105","70","100","100","100","100","100","100","100","0","0","0","7","Thaumaturge","2055","0","3","3","6","4","203","204","205","42","0","0","0","0","1","5","0","False","True"
"8","木工師","CRP","木","33","7","FF","0","0","0","100","100","90","105","100","90","90","100","100","100","100","100","100","100","0","0","0","8","Carpenter","0","0","0","0","7F","0","0","0","0","101","10337","0","0","0","1","7","0","False","False"
"9","鍛冶師","BSM","鍛","33","8","FF","0","0","1","100","100","105","90","90","90","100","100","100","100","100","100","100","100","0","0","0","9","Blacksmith","0","0","0","0","7F","0","0","0","0","102","10338","0","0","0","1","7","0","False","False"
"10","甲冑師","ARM","甲","33","9","FF","0","0","2","100","100","100","105","90","90","90","100","100","100","100","100","100","100","0","0","0","10","Armorer","0","0","0","0","7F","0","0","0","0","103","10339","0","0","0","1","7","0","False","False"
"11","彫金師","GSM","彫","33","A","FF","0","0","3","100","100","90","90","105","100","90","100","100","100","100","100","100","100","0","0","0","11","Goldsmith","0","0","0","0","7F","0","0","0","0","104","10340","0","0","0","1","7","0","False","False"
"12","革細工師","LTW","革","33","B","FF","0","0","4","100","100","90","105","90","100","90","100","100","100","100","100","100","100","0","0","0","12","Leatherworker","0","0","0","0","7F","0","0","0","0","105","10341","0","0","0","1","7","0","False","False"
"13","裁縫師","WVR","裁","33","C","FF","0","0","5","100","100","90","90","105","90","100","100","100","100","100","100","100","100","0","0","0","13","Weaver","0","0","0","0","7F","0","0","0","0","106","10342","0","0","0","1","7","0","False","False"
"14","錬金術師","ALC","錬","33","D","FF","0","0","6","100","100","90","90","90","105","90","100","100","100","100","100","100","100","0","0","0","14","Alchemist","0","0","0","0","7F","0","0","0","0","107","10343","0","0","0","1","7","0","False","False"
"15","調理師","CUL","調","33","E","FF","0","0","7","100","100","90","90","90","90","105","100","100","100","100","100","100","100","0","0","0","15","Culinarian","0","0","0","0","7F","0","0","0","0","108","10344","0","0","0","1","7","0","False","False"
"16","採掘師","MIN","採","32","F","FF","0","0","0","100","100","100","90","90","90","100","100","100","100","100","100","100","100","0","0","0","16","Miner","0","0","0","0","7F","0","0","0","0","201","0","0","0","0","1","6","0","False","False"
"17","園芸師","BTN","園","32","10","FF","0","0","1","100","100","90","90","100","100","90","100","100","100","100","100","100","100","0","0","0","17","Botanist","0","0","0","0","7F","0","0","0","0","202","0","0","0","0","1","6","0","False","False"
"18","漁師","FSH","漁","32","11","FF","0","0","2","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0","18","Fisher","0","0","0","0","7F","0","0","0","0","203","0","0","0","0","1","6","0","False","False"
"19","ナイト","PLD","ナ","30","1","FF","8","1","FF","140","100","100","110","95","60","100","100","100","100","100","100","100","100","1","1","0","1","Paladin","0","0","1","0","0","1","197","198","199","1","4542","66591","66656","66596","1","1","1","False","True"
"20","モンク","MNK","モ","30","0","FF","9","2","FF","110","100","110","100","105","50","90","100","100","100","100","100","100","100","2","4","0","2","Monk","0","0","2","0","1","1","200","201","202","21","4543","66597","66657","66602","1","3","3","False","True"
"21","戦士","WAR","戦","30","2","FF","10","3","FF","145","100","105","110","95","40","55","100","100","100","100","100","100","100","3","2","0","3","Warrior","0","0","1","0","2","1","197","198","4240","3","4544","66585","66655","66590","1","1","1","False","True"
"22","竜騎士","DRG","竜","30","4","FF","11","4","FF","115","100","115","105","100","45","65","100","100","100","100","100","100","100","4","5","0","4","Dragoon","0","0","2","0","3","1","200","201","4242","23","4545","66603","66658","66608","1","3","3","False","True"
"23","吟遊詩人","BRD","吟","30","3","FF","12","5","FF","105","100","90","100","115","85","80","100","100","100","100","100","100","100","5","8","0","5","Bard","0","0","3","0","4","2","4238","4239","4244","31","4546","66621","66661","66626","1","4","4","False","True"
"24","白魔道士","WHM","白","31","6","FF","13","6","FF","105","100","55","100","105","105","115","100","100","100","100","100","100","100","6","13","0","6","White Mage","0","0","4","0","5","5","206","207","208","11","4547","66615","66660","66620","1","2","2","False","True"
"25","黒魔道士","BLM","黒","31","5","FF","14","7","FF","105","100","45","100","100","115","75","100","100","100","100","100","100","100","7","10","0","7","Black Mage","0","0","3","0","6","4","203","204","205","41","4548","66609","66659","66614","1","5","5","False","True"
"26","巴術士","ACN","巴","31","12","7","15","0","FF","100","100","85","95","95","105","75","100","100","100","100","100","100","100","0","0","0","26","Arcanist","2142","0","3","1","7","4","203","204","4246","44","0","0","0","0","1","5","0","False","True"
"27","召喚士","SMN","召","31","12","FF","16","8","FF","105","100","90","100","100","115","80","100","100","100","100","100","100","100","8","11","0","26","Summoner","0","0","3","0","7","4","203","204","4246","43","4549","66627","66662","66632","1","5","5","False","True"
"28","学者","SCH","学","31","12","FF","17","9","FF","105","100","90","100","100","105","115","100","100","100","100","100","100","100","9","14","0","26","Scholar","0","0","4","0","7","5","206","207","4247","13","4550","66633","66663","66638","1","2","6","False","True"
"29","双剣士","ROG","双","30","13","8","18","0","FF","103","100","80","95","100","60","70","100","100","100","100","100","100","100","0","0","0","29","Rogue","0","0","2","0","B","2","200","201","4243","26","0","0","0","0","1","4","0","False","True"
"30","忍者","NIN","忍","30","13","FF","19","10","FF","108","100","85","100","110","65","75","100","100","100","100","100","100","100","10","6","0","29","Ninja","0","0","2","0","B","2","200","201","4243","25","7886","65748","67115","65770","1","4","3","False","True"
"31","機工士","MCH","機","30","14","9","20","11","FF","105","100","85","100","115","80","85","100","100","100","100","100","100","100","11","9","0","31","Machinist","0","0","3","0","FF","2","4238","4239","4245","33","8574","67232","0","0","30","4","4","False","True"
"32","暗黒騎士","DRK","暗","30","15","A","21","12","FF","140","100","105","110","95","60","40","100","100","100","100","100","100","100","12","3","0","32","Dark Knight","0","0","1","0","FF","1","197","198","4241","5","8839","67589","0","0","30","1","1","False","True"
"33","占星術師","AST","占","31","16","B","22","13","FF","105","100","50","100","100","105","115","100","100","100","100","100","100","100","13","15","0","33","Astrologian","0","0","4","0","FF","5","206","207","4248","14","8840","67548","0","0","30","2","2","False","True"
