"0","0","0","0","0","","",""
"1","0","0","150011","0","","",""
"2","0","0","150012","0","","",""
"3","0","0","0","0","","",""
"4","0","0","0","0","","",""
"5","1","1","150021","1","頭上に<hex:024804F201FA03><hex:024904F201FB03>「クエストアイコン」<hex:0249020103><hex:0248020103>がついているキャラクターを<hex:024804F201FA03><hex:024904F201FB03>「右クリック」<hex:0249020103><hex:0248020103>すると、<hex:02100103>クエストが始まります。<hex:02100103><hex:02100103>リスフローを右クリックし、<hex:02100103>クエストを始めてみましょう。","頭上に<hex:024804F201FA03><hex:024904F201FB03>「クエストアイコン」<hex:0249020103><hex:0248020103>がついているキャラクターを<hex:024804F201FA03><hex:024904F201FB03>「右クリック」<hex:0249020103><hex:0248020103>すると、<hex:02100103>クエストが始まります。<hex:02100103><hex:02100103>ベルテナンを右クリックし、<hex:02100103>クエストを始めてみましょう。","頭上に<hex:024804F201FA03><hex:024904F201FB03>「クエストアイコン」<hex:0249020103><hex:0248020103>がついているキャラクターを<hex:024804F201FA03><hex:024904F201FB03>「右クリック」<hex:0249020103><hex:0248020103>すると、<hex:02100103>クエストが始まります。<hex:02100103><hex:02100103>ワイモンドを右クリックし、<hex:02100103>クエストを始めてみましょう。"
"6","1","1","150022","1","頭上に<hex:024804F201FA03><hex:024904F201FB03>「クエストアイコン」<hex:0249020103><hex:0248020103>がついているキャラクターを選択すると、<hex:02100103>クエストが開始されます。<hex:02100103><hex:02100103>リスフローを選択して、<hex:02100103>クエストを始めましょう。","頭上に<hex:024804F201FA03><hex:024904F201FB03>「クエストアイコン」<hex:0249020103><hex:0248020103>がついているキャラクターを選択すると、<hex:02100103>クエストが開始されます。<hex:02100103><hex:02100103>ベルテナンを選択して、<hex:02100103>クエストを始めましょう。","頭上に<hex:024804F201FA03><hex:024904F201FB03>「クエストアイコン」<hex:0249020103><hex:0248020103>がついているキャラクターを選択すると、<hex:02100103>クエストが開始されます。<hex:02100103><hex:02100103>ワイモンドを選択して、<hex:02100103>クエストを始めましょう。"
"7","0","0","0","0","","",""
"8","0","0","0","0","","",""
"9","0","0","0","0","","",""
"10","1","1","150121","0","クエストの受注画面が表示されました。<hex:02100103><hex:02100103>受注画面には、クエストの概要や報酬が<hex:02100103>表示されています。<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>「受注」<hex:0249020103><hex:0248020103>ボタンをクリックして、<hex:02100103>クエストを受注してみましょう。","",""
"11","1","1","150121","0","クエストの受注画面が表示されました。<hex:02100103><hex:02100103>受注画面には、クエストの概要や報酬が<hex:02100103>表示されています。<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>「受注」<hex:0249020103><hex:0248020103>ボタンを押して、<hex:02100103>クエストを受注してみましょう。","",""
"12","0","0","0","0","","",""
"13","0","0","0","0","","",""
"14","0","0","0","0","","",""
"15","1","1","150811","1","クエストの目的をすべて達成すると、<hex:02100103>経験値やギルなどの<hex:024804F201FA03><hex:024904F201FB03>「報酬」<hex:0249020103><hex:0248020103>を<hex:02100103>受け取ることができます。<hex:02100103><hex:02100103>さっそくバデロンに話しかけて、<hex:02100103>クエストをコンプリートしてみましょう。","クエストの目的をすべて達成すると、<hex:02100103>経験値やギルなどの<hex:024804F201FA03><hex:024904F201FB03>「報酬」<hex:0249020103><hex:0248020103>を<hex:02100103>受け取ることができます。<hex:02100103><hex:02100103>さっそくミューヌに話しかけて、<hex:02100103>クエストをコンプリートしてみましょう。","クエストの目的をすべて達成すると、<hex:02100103>経験値やギルなどの<hex:024804F201FA03><hex:024904F201FB03>「報酬」<hex:0249020103><hex:0248020103>を<hex:02100103>受け取ることができます。<hex:02100103><hex:02100103>さっそくモモディに話しかけて、<hex:02100103>クエストをコンプリートしてみましょう。"
"16","1","1","150812","1","クエストの目的をすべて達成すると、<hex:02100103>経験値やギルなどの<hex:024804F201FA03><hex:024904F201FB03>「報酬」<hex:0249020103><hex:0248020103>を<hex:02100103>受け取ることができます。<hex:02100103><hex:02100103>さっそくバデロンに話しかけて、<hex:02100103>クエストをコンプリートしてみましょう。","クエストの目的をすべて達成すると、<hex:02100103>経験値やギルなどの<hex:024804F201FA03><hex:024904F201FB03>「報酬」<hex:0249020103><hex:0248020103>を<hex:02100103>受け取ることができます。<hex:02100103><hex:02100103>さっそくミューヌに話しかけて、<hex:02100103>クエストをコンプリートしてみましょう。","クエストの目的をすべて達成すると、<hex:02100103>経験値やギルなどの<hex:024804F201FA03><hex:024904F201FB03>「報酬」<hex:0249020103><hex:0248020103>を<hex:02100103>受け取ることができます。<hex:02100103><hex:02100103>さっそくモモディに話しかけて、<hex:02100103>クエストをコンプリートしてみましょう。"
"17","0","0","0","0","","",""
