"0","","0","0","0","0","0","0","0","0","True"
"1","戰女神之怒連擊","0","17355","0","0","0","0","0","0","False"
"2","王權劍連擊","0","17355","0","0","0","0","0","0","False"
"3","寒風斧連擊","0","17355","0","0","0","0","0","0","False"
"4","暴風斬連擊","0","17355","0","0","0","0","0","0","False"
"5","強力斬連擊","0","17355","0","0","0","0","0","0","False"
"6","噬魂斬連擊","0","17355","0","0","0","0","0","0","False"
"7","崩拳連擊","0","17355","0","0","0","0","0","0","False"
"8","破碎拳連擊","1","17355","0","0","0","0","0","0","False"
"9","龍尾大迴旋連擊","0","17355","0","0","0","0","0","0","False"
"10","龍尾大迴旋連擊","1","17355","0","0","0","0","0","0","False"
"11","旋風刃連擊","0","17355","0","0","0","0","0","0","False"
"12","影牙連擊","1","17355","0","0","0","0","0","0","False"
"13","雪風連擊","0","17355","0","0","0","0","0","0","False"
"14","月光連擊","1","17355","0","0","0","0","0","0","False"
"15","花車連擊","2","17355","0","0","0","0","0","0","False"
"16","直線射擊連擊","0","17355","0","0","0","0","0","0","False"
"17","狂風蝕箭連擊","0","17355","0","0","0","0","0","0","False"
"18","熱狙擊彈連擊","0","17355","0","0","0","0","0","0","False"
"19","魔連攻連擊","0","17355","0","0","0","0","0","0","False"
"20","迅連斬連擊","0","17355","0","0","0","0","0","0","False"
"21","凶禽爪連擊","2","17355","0","0","0","0","0","0","False"
"22","噴泉連擊","0","17355","0","0","0","0","0","0","False"
"23","遊蕩劍連擊","0","16788","16269","16984","0","0","0","0","False"
"24","大日食連擊","1","16789","16985","0","0","0","0","0","False"
"25","迅連斬連擊","0","16434","16418","16435","0","0","0","0","False"
"26","山境酷刑連擊","0","18772","18773","18774","0","0","0","0","False"
"27","日珥斬連擊","1","17355","0","0","0","0","0","0","False"
"28","鋼鐵旋風連擊","1","17355","0","0","0","0","0","0","False"
"29","剛魂連擊","1","17355","0","0","0","0","0","0","False"
"30","地烈勁連擊","1","17355","0","0","0","0","0","0","False"
"31","山境酷刑連擊","1","17355","0","0","0","0","0","0","False"
"32","八卦無刃殺連擊","1","17355","0","0","0","0","0","0","False"
"33","花車連擊","0","17355","0","0","0","0","0","0","False"
"34","櫻花連擊","1","17355","0","0","0","0","0","0","False"
"35","惡魔殺連擊","1","17355","0","0","0","0","0","0","False"
"36","落刃雨連擊","1","17355","0","0","0","0","0","0","False"
"37","夜月連擊","0","14840","19046","19047","0","0","0","0","False"
"38","乙太光劍連擊","0","20490","20491","20492","0","0","0","0","False"
"39","赤核爆連擊","0","20529","20530","20531","20532","0","0","0","False"
"40","穢濁連擊","0","21612","22502","22817","21613","0","0","0","False"
"41","王冠之領主連擊","0","21499","21607","0","0","0","0","0","False"
"42","河流神的卷軸連擊","1","24066","21610","0","0","0","0","0","False"
"43","焦熱連擊","1","24917","24918","24919","24920","21496","21923","24831","False"
"44","戰女神之怒連擊","0","26249","26250","26251","0","0","0","0","False"
"45","赤核爆連擊","0","27048","27049","27050","27051","27052","0","0","False"
"46","焦熱連擊","1","27054","27055","27056","27057","27058","27059","24898","False"
"47","迅連斬連擊","0","27427","27428","27429","0","0","0","0","False"
"48","絕獄切連擊","0","17355","0","0","0","0","0","0","False"
"49","惡夢之鐮連擊","1","17355","0","0","0","0","0","0","False"
"50","王權劍連擊","0","29058","29059","29060","0","0","0","0","True"
"51","暴風斬連擊","0","29074","29075","29076","0","0","0","0","True"
"52","噬魂斬連擊","0","29085","29086","29087","0","0","0","0","True"
"53","迅連斬連擊","0","29098","29099","29100","0","0","0","0","True"
"54","噴泉連擊","0","29416","29417","0","0","0","0","0","True"
"55","夢幻鬥舞連擊","0","29472","29473","29474","29475","29476","29477","29478","True"
"56","龍尾大迴旋連擊","0","29486","29487","29488","0","0","0","0","True"
"57","旋風刃連擊","0","29500","29501","29502","0","0","0","0","True"
"58","花車連擊","0","29523","29524","29525","0","0","0","0","True"
"59","絕獄切連擊","0","29538","29539","29540","0","0","0","0","True"
"60","紳士之怒連擊","0","31393","31394","31395","0","0","0","0","True"
"61","絕獄切連擊","0","31786","31787","31788","0","0","0","0","True"
"62","惡夢之鐮連擊","0","31789","31790","0","0","0","0","0","True"
"63","","0","0","0","0","0","0","0","0","False"
"64","","0","0","0","0","0","0","0","0","False"
"65","","0","0","0","0","0","0","0","0","False"
