"0","","","0",""
"1","Academician","阿爾菲諾","8202013","學士"
"2","Red Mage","阿莉塞","8202034","赤魔法師"
"3","Gunbreaker","桑克瑞德","8202055","絕槍戰士"
"4","Oracle of Light","敏菲利亞","8202073","光之巫女"
"5","Astrologian","于里昂熱","8202092","占星術士"
"6","Sorceress","雅．修特拉","8202109","魔女"
"7","Oracle of Light","琳","8202073","光之巫女"
"8","Guard Captain","萊楠","8202143","衛兵團長"
"9","All-Rounder","水晶公","8202130","全才"
"10","All-Rounder","古．拉哈．提亞","8202346","全才"
"11","Sage","阿爾菲諾","8203013","賢者"
"12","Dragoon","埃斯蒂尼安","8203064","龍騎士"
"13","Lithomancer","于里昂熱","8202092","秘石術師"
"14","All-Rounder","維涅斯","8203122","全才"
"15","The Third Seat","愛梅特賽爾克","8203219","第三席"
"16","Soulseer","希斯拉德","8203239","觀魂者"
"17","Marauder","氣盛的斧術師","0","斧術師"
"18","Lancer","氣盛的槍術師","0","槍術師"
"19","Thaumaturge","氣盛的咒術師","0","咒術師"
"20","Conjurer","氣盛的幻術師","0","幻術師"
"21","Marauder","拂曉的斧術師","0","斧術師"
"22","Lancer","拂曉的槍術師","0","槍術師"
"23","Thaumaturge","拂曉的咒術師","0","咒術師"
"24","Conjurer","拂曉的幻術師","0","幻術師"
"25","Marauder","黑渦團斧術師","0","斧術師"
"26","Lancer","雙蛇黨槍術師","0","槍術師"
"27","Thaumaturge","恆輝隊咒術師","0","咒術師"
"28","Conjurer","雙蛇黨幻術師","0","幻術師"
"29","Satrap","瓦爾桑","8203440","總督"
"30","Oracle of Frost","伊塞勒","0","冰之巫女"
"31","Temple Knight","神殿騎士團正騎士","0","神殿騎士"
"32","Temple Banneret","神殿騎士團槍騎兵","0","槍騎兵"
"33","Temple Chirurgeon","神殿騎士團醫師","0","醫師"
"34","Chivalric Knight","奧爾什方","0","正騎士"
"35","Poroggo","佩羅．羅格","0","智蛙"
"36","Lord Commander","艾默里克","0","總騎士長"
"37","Knight","福爾唐家的騎士","0","騎士"
"38","Banneret","福爾唐家的槍騎兵","0","槍騎兵"
"39","Archer","福爾唐家的射手","0","射手"
"40","Archon","桑克瑞德","0","賢人"
"41","Memoriate","零","8203467","憶晶師"
"42","Archon","雅．修特拉","0","賢人"
"43","Marauder","CARVALLAIN","0","斧術師"
"44","Pugilist","LYSE","0","格鬥家"
"45","Samurai","GOSETSU","0","武士"
"46","Samurai","HIEN","0","武士"
"47","Shaman","MOL YOUTH","0","シャーマン"
"48","Ninja","YUGIRI","0","忍者"
"49","Samurai","DOMAN LIBERATOR","0","武士"
"50","Fushi","DOMAN SHAMAN","0","巫士"
"51","Gladiator","RESISTANCE FIGHTER","0","劍術師"
"52","Pikedancer","RESISTANCE PIKEDANCER","0","パイク兵"
"53","Gladiator","ARENVALD","0","劍術師"
"54","Pugilist","LYSE","0","格鬥家"
"55","Champion Gladiator","RAUBAHN","0","剣闘士"
