"0","0","","0","","0","0","1","0","0","","","0"
"1","27976","","0","","0","0","1","0","0","魔陶器：咒印解除","清除本層所有陷阱","6259"
"2","27977","","0","","0","0","1","0","0","魔陶器：全景","點亮本層所有地圖，可看到本層所有陷阱","6260"
"3","27978","","0","","0","0","1","0","0","魔陶器：強化自身","自身攻擊造成的傷害及治療魔法的治療量提高30%","6262"
"4","27979","","0","","0","0","1","0","0","魔陶器：強化防禦","自身受到的傷害減輕40%","6263"
"5","27980","","0","","0","0","1","0","0","魔陶器：寶箱增加","增加下一層的寶箱","6264"
"6","27981","","0","","0","0","1","0","0","魔陶器：減少敵人","減少下一層的敵人","6265"
"7","27982","","0","","0","0","1","0","0","魔陶器：改變敵人","將下一層隨機一個房間的敵人變化為擬態怪或蔓德拉","6266"
"8","27983","","0","","0","0","1","0","0","魔陶器：解咒","解除詛咒狀態","6267"
"9","27984","","0","","0","0","1","0","0","魔陶器：運氣上升","在本層擊敗敵人時寶箱出現率上升","6268"
"10","27985","","0","","0","0","1","0","0","魔陶器：形態變化","令進入以自身為中心一定範圍內的目標變為青蛙、河童、小雞","6269"
"11","27986","","0","","0","0","1","0","0","魔陶器：魔法效果解除","消除本層所有魔法效果","6270"
"12","27987","","0","","0","0","1","0","0","魔陶器：曼提克化","自身變為曼提克形態","6271"
"13","27988","","0","","0","0","1","0","0","魔陶器：夢魔化","自身變為夢魔形態","6272"
"14","27991","","0","","0","0","1","0","0","魔陶器：感知寶藏","顯示埋藏的寶藏的所在位置，效果將持續到發現埋藏的寶藏為止","6870"
"15","27989","","0","","0","0","1","0","0","魔陶器：重生","復活第一個陷入無法戰鬥狀態的小隊隊員","6868"
"16","27990","","0","","0","0","1","0","0","魔陶器：基路伯化","自身變為基路伯形態","6869"
"17","27994","","0","","0","0","1","0","0","魔陶器：弱化敵人","將本層的敵人變為攻防低下的狀態","11275"
"18","27992","","0","","0","0","1","0","0","魔陶器：隱形","將自身與小隊成員變為隱形狀態","11276"
"19","27993","","0","","0","0","1","0","0","魔陶器：石化敵人","將本層的敵人變為石化狀態","11277"
"20","27995","","0","","0","0","1","0","0","魔科學器：減速","令本層敵人減速","32144"
"21","27996","","0","","0","0","1","0","0","魔科學器：大漩渦","令本層敵人體力變為個位數","32145"
"22","27997","","0","","0","0","1","0","0","魔科學器：恐慌裝甲化","自身變為恐慌裝甲形態","32146"
"23","27976","","0","","0","0","1","0","0","魔科学器:呪印解除","清除本層所有陷阱","6259"
"24","27977","","0","","0","0","1","0","0","魔科學器：全景","點亮本層所有地圖，可看到本層所有陷阱","6260"
"25","27978","","0","","0","0","1","0","0","魔科学器:自己強化","自身攻擊造成的傷害及治療魔法的治療量提高30%","6262"
"26","27979","","0","","0","0","1","0","0","魔科学器:防御強化","自身受到的傷害減輕40%","6263"
"27","27980","","0","","0","0","1","0","0","魔科学器:宝箱増加","增加下一層的寶箱","6264"
"28","27981","","0","","0","0","1","0","0","魔科学器:敵排除","減少下一層的敵人","6265"
"29","27982","","0","","0","0","1","0","0","魔科学器:敵変化","將下一層隨機一個房間的敵人變化為擬態怪或蔓德拉","6266"
"30","27983","","0","","0","0","1","0","0","魔科学器:解呪","解除詛咒狀態","6267"
"31","27984","","0","","0","0","1","0","0","魔科学器:運気上昇","在本層擊敗敵人時寶箱出現率上升","6268"
"32","27985","","0","","0","0","1","0","0","魔科学器:形態変化","令進入以自身為中心一定範圍內的目標變為青蛙、河童、小雞","6269"
"33","27986","","0","","0","0","1","0","0","魔科学器:魔法効果解除","消除本層所有魔法效果","6270"
"34","27991","","0","","0","0","1","0","0","魔科学器:財宝感知","顯示埋藏的寶藏的所在位置，效果將持續到發現埋藏的寶藏為止","6870"
"35","27989","","0","","0","0","1","0","0","魔科學器：重生","復活第一個陷入無法戰鬥狀態的小隊隊員","6868"
