"0","熱鍵欄1","Hotbar1","hot1"
"1","熱鍵欄2","Hotbar2","hot2"
"2","熱鍵欄3","Hotbar3","hot3"
"3","熱鍵欄4","Hotbar4","hot4"
"4","熱鍵欄5","Hotbar5","hot5"
"5","熱鍵欄6","Hotbar6","hot6"
"6","熱鍵欄7","Hotbar7","hot7"
"7","熱鍵欄8","Hotbar8","hot8"
"8","熱鍵欄9","Hotbar9","hot9"
"9","熱鍵欄10","Hotbar10","hot10"
"10","特殊熱鍵欄","HotbarEx","hotex"
"11","十字熱鍵欄","CrossHotbar","cross"
"12","詠唱欄","CastBar","cast"
"13","目標情報","TargetInfo","target"
"14","焦點目標情報","FocusTarget","focus"
"15","小隊列表","PartyList","party"
"16","敵對列表","EnemyList","enemy"
"17","角色參數","MyParam","param"
"18","通知","Notification","Notices"
"19","導向地圖","NaviMap","navi"
"20","快捷指令","MainCommand","main"
"21","基本情報","GeneralInfo","dtr"
"22","所持金幣","CurrencyStatus","gil"
"23","背包縮圖","ItemSign","bag"
"24","任務情報","ToDoList","todo"
"25","道具幫助","ItemHelp","item"
"26","技能幫助","ActionHelp","action"
"27","極限槽","LimitGauge","limit"
"28","經驗值欄","ExpBar","exp"
"29","狀態效果","BuffDebuffStatus","buff"
"30","團隊列表1","AllianceList1","alist1"
"31","團隊列表2","AllianceList2","alist2"
"32","目的列表","DutyList","dlist"
"33","任務情報","ContentsInfo","cinfo"
"34","","",""
"35","","",""
"36","","",""
"37","","",""
"38","雙十字熱鍵欄：左","",""
"39","雙十字熱鍵欄：右","",""
"40","忠義量表","",""
"41","疾風迅雷量表","",""
"42","獸魂量表","",""
"43","龍血量表","",""
"44","戰歌量表","",""
"45","百合花莖量表","",""
"46","元素量表","",""
"47","乙太超流量表","",""
"48","乙太超流量表","",""
"49","同調量表","",""
"50","異想量表","",""
"51","忍氣量表","",""
"52","機工量表","",""
"53","","",""
"54","暗血量表","",""
"55","奧秘量表","",""
"56","劍氣量表","",""
"57","雪月花量表","",""
"58","平衡量表","",""
"59","任務量表","",""
"60","任務指令","",""
"61","鬥氣量表","",""
"62","風遁量表","",""
"63","主線嚮導","ScenarioGuide",""
"64","烈羽爭鋒：防禦塔與核心情報","RivalWings:Gauge",""
"65","烈羽爭鋒：團隊列表","RivalWings:Alliance",""
"66","烈羽爭鋒：陣營情報","RivalWings:TeamInfo",""
"67","狀態效果：強化狀態","Status:Buff",""
"68","狀態效果：弱化狀態","Status:Debuff",""
"69","狀態效果：其他狀態","Status:Other",""
"70","目標情報：狀態效果","TargetInfo:Status",""
"71","目標情報：詠唱欄","TargetInfo:CastBar",""
"72","目標情報：體力欄","TargetInfo:HP",""
"73","群狼盛宴：戰章","TheFeast:Score",""
"74","群狼盛宴：我方情報","TheFeast:AllyInfo",""
"75","群狼盛宴：敵方情報","TheFeast:EnemyInfo",""
"76","烈羽爭鋒：車站情報","RivalWings:Station",""
"77","烈羽爭鋒：哥布林傭兵情報","RivalWings:Mercenary",""
"78","暗黑量表","",""
"79","晶壤量表","",""
"80","舞步量表","",""
"81","幻扇量表","",""
"82","紛爭前線：戰意槽","Frontline:BattleGauge",""
"83","昔日重現模式嚮導","NG+",""
"84","高壓乙太","CompressedAether",""
"85","出海垂釣：船上任務","OceanFishing:Missions",""
"86","狀態效果：前置條件狀態","Status:trigger",""
"87","靈魂量表","",""
"88","遊魂量表","",""
"89","體液調和量表","",""
"90","蝰蛇量表","",""
"91","必殺技量表","",""
"92","水晶衝突：進度情報","",""
"93","水晶衝突：我方情報","",""
"94","","",""
"95","水晶衝突：敵方情報","",""
"96","水晶衝突：戰場通告","",""
"97","水晶衝突：導向地圖","",""
