"0","0","","","0","0"
"1","0","無形之聲","","1","251"
"2","1","碧海之寶","","2","251"
"3","2","利姆萊茵的傳說","","3","251"
"4","3","後會無期","","4","251"
"5","4","傾注之光","","5","251"
"6","5","熟睡鬼","","6","251"
"7","6","成千上萬的精靈","","7","251"
"8","7","不速之客","","8","251"
"9","8","火焰之日","","9","251"
"10","9","太陽之都","","10","251"
"11","10","小小的犧牲","","11","251"
"12","11","災難降臨","","12","251"
"13","12","開端","","13","251"
"14","13","拚死的救出作戰","","14","251"
"15","14","利害的調停者","","15","251"
"16","15","異質者","","16","251"
"17","16","炎獄之神","","17","251"
"18","17","阿拉米格解放軍","","18","251"
"19","18","重疊的未來","","19","251"
"20","59","債鬼致富記","","20","253"
"21","60","守護者啟程","","21","253"
"22","61","硬幣的正反面","","22","253"
"23","79","陪練對手","","23","253"
"24","80","自由的權利","","24","253"
"25","81","興奮的代價","","25","253"
"26","99","斷罪黨的洗禮","","26","253"
"27","100","我們是海盜","","27","253"
"28","101","微笑注視吧","","28","253"
"29","139","巴德龍的推薦","","29","253"
"30","140","繆恩的推薦","","30","253"
"31","141","莫莫蒂的推薦","","31","253"
"32","143","想更換搭檔","","32","253"
"33","159","神勇隊","","33","253"
"34","160","昏暗之森","","34","253"
"35","161","從過去伸出的手","","35","253"
"36","179","鬼哭隊","","36","253"
"37","180","石頭與黃金","","37","253"
"38","181","棘手的任務","","38","253"
"39","239","復仇委託","","39","253"
"40","240","馬虎的傳教士","","40","253"
"41","241","納爾札爾教團特約","","41","253"
"42","259","樹精任務","","42","253"
"43","260","龍騎士的夢","","43","253"
"44","261","呼喚","","44","253"
"45","299","小小的老師","","45","253"
"46","300","小鬼","","46","253"
"47","301","元靈的禮物","","47","253"
"48","319","左耳男子","","48","253"
"49","320","賽蓮的歌聲","","49","253"
"50","321","迷惑之島","","50","253"
"51","359","你的容顏","","51","253"
"52","360","芙．拉敏之花","","52","253"
"53","361","心臟之刃","","53","253"
"54","379","無言之人","","54","253"
"55","380","第二工作室","","55","253"
"56","381","師徒評價制度","","56","253"
"57","399","紅之章","","57","253"
"58","400","灰之章","","58","253"
"59","401","白之章","","59","253"
"60","419","沉睡的深淵","","60","253"
"61","420","化身為龍的少年","","61","253"
"62","421","夢境或現實","","62","253"
"63","439","顫抖的對決","","63","253"
"64","440","消失的美食家","","64","253"
"65","441","熱氣毒殺事件","","65","253"
"66","459","時間碎片","","66","253"
"67","460","秘藏大作戰","","67","253"
"68","461","逃跑的女孩","","68","253"
"69","479","格里達尼亞的植物根","","69","253"
"70","480","憧憬的大都市","","70","253"
"71","481","莫古利的花圃","","71","253"
"72","499","收拾魚人族","","72","253"
"73","500","魚塘精靈","","73","253"
"74","501","幸福時光","","74","253"
"75","626","業火的試煉","","75","252"
"76","632","梅爾凡海關的失敗","","76","252"
"77","633","希望之橋","","77","252"
"78","635","梭魚的復仇","","78","252"
"79","637","愛意滿滿","","79","252"
"80","638","茫然的海盜","","80","252"
"81","639","兒子的消息","","81","252"
"82","640","發人深思","","82","252"
"83","641","漣漪之音","","83","252"
"84","642","釣魚革命","","84","252"
"85","643","月色撩人","","85","252"
"86","645","黑色關係","","86","252"
"87","647","雕刻家的野心","","87","252"
"88","652","梭魚騎士團特殊任務","","88","252"
"89","653","小心夜路","","89","252"
"90","654","凶猛的火舌","","90","252"
"91","655","蔬菜革命","","91","252"
"92","657","惡作劇的序曲","","92","252"
"93","658","傳說的靈精鼠","","93","252"
"94","659","惡作劇的輪舞曲","","94","252"
"95","661","兒子的苦鬥","","95","252"
"96","662","丟失的日記","","96","252"
"97","663","藏匿的感情","","97","252"
"98","664","哀悼","","98","252"
"99","665","原初的呼喚","","99","252"
"100","666","森林的敵人","","100","252"
"101","667","把握商機的豆子","","101","252"
"102","668","失竊的靈魂","","102","252"
"103","673","幻術三皇","","103","252"
"104","674","輕敲門扉之人","","104","252"
"105","675","失眠的冒險者","","105","252"
"106","676","偉大的咒術老師","","106","252"
"107","678","顧客就是上帝","","107","252"
"108","679","沙蔭","","108","252"
"109","680","汙點","","109","252"
"110","681","被綁架的咒術師","","110","252"
"111","682","悲哀的咒術師","","111","252"
