"262144","","0","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"262145","木製海濱小屋","0","","0","0","1","0","0","22","0","6347","6374","6401","6410","6455","6458","6461","0","0","0","6455","6458","6461","0"
"262146","混合制海濱小屋","0","","0","0","1","0","0","22","0","6348","6375","6402","6411","6455","6458","6461","0","0","0","6455","6458","6461","0"
"262147","石製海濱小屋","0","","0","0","1","0","0","22","0","6349","6376","6403","6412","6455","6458","6461","0","0","0","6455","6458","6461","0"
"262148","木製海濱公館","0","","0","0","1","0","0","22","1","6350","6377","6401","6410","6455","6458","6462","6455","6458","6462","6455","6458","6462","0"
"262149","混合制海濱公館","0","","0","0","1","0","0","22","1","6351","6378","6402","6411","6455","6458","6462","6455","6458","6462","6455","6458","6462","0"
"262150","石製海濱公館","0","","0","0","1","0","0","22","1","6352","6379","6403","6412","6455","6458","6462","6455","6458","6462","6455","6458","6462","0"
"262151","木製海濱別墅","0","","0","0","1","0","0","22","2","6353","6380","6401","6410","6455","6458","6463","6455","6458","6463","6455","6458","6463","6463"
"262152","混合制海濱別墅","0","","0","0","1","0","0","22","2","6354","6381","6402","6411","6455","6458","6463","6455","6458","6463","6455","6458","6463","6463"
"262153","石製海濱別墅","0","","0","0","1","0","0","22","2","6355","6382","6403","6412","6455","6458","6463","6455","6458","6463","6455","6458","6463","6463"
"262154","木製林間小屋","0","","0","0","1","0","0","23","0","6356","6383","6404","6413","6456","6459","6464","0","0","0","6456","6459","6464","0"
"262155","混合制林間小屋","0","","0","0","1","0","0","23","0","6357","6384","6405","6414","6456","6459","6464","0","0","0","6456","6459","6464","0"
"262156","石製林間小屋","0","","0","0","1","0","0","23","0","6358","6385","6406","6415","6456","6459","6464","0","0","0","6456","6459","6464","0"
"262157","木製林間公館","0","","0","0","1","0","0","23","1","6359","6386","6404","6413","6456","6459","6465","6456","6459","6465","6456","6459","6465","0"
"262158","混合制林間公館","0","","0","0","1","0","0","23","1","6360","6387","6405","6414","6456","6459","6465","6456","6459","6465","6456","6459","6465","0"
"262159","石製林間公館","0","","0","0","1","0","0","23","1","6361","6388","6406","6415","6456","6459","6465","6456","6459","6465","6456","6459","6465","0"
"262160","木製林間別墅","0","","0","0","1","0","0","23","2","6362","6389","6404","6413","6456","6459","6466","6456","6459","6466","6456","6459","6466","6466"
"262161","混合制林間別墅","0","","0","0","1","0","0","23","2","6363","6390","6405","6414","6456","6459","6466","6456","6459","6466","6456","6459","6466","6466"
"262162","石製林間別墅","0","","0","0","1","0","0","23","2","6364","6391","6406","6415","6456","6459","6466","6456","6459","6466","6456","6459","6466","6466"
"262163","木製綠洲小屋","0","","0","0","1","0","0","24","0","6365","6392","6407","6416","6457","6460","6467","0","0","0","6457","6460","6467","0"
"262164","混合制綠洲小屋","0","","0","0","1","0","0","24","0","6366","6393","6408","6417","6457","6460","6467","0","0","0","6457","6460","6467","0"
"262165","石製綠洲小屋","0","","0","0","1","0","0","24","0","6367","6394","6409","6418","6457","6460","6467","0","0","0","6457","6460","6467","0"
"262166","木製綠洲公館","0","","0","0","1","0","0","24","1","6368","6395","6407","6416","6457","6460","6468","6457","6460","6468","6457","6460","6468","0"
"262167","混合制綠洲公館","0","","0","0","1","0","0","24","1","6369","6396","6408","6417","6457","6460","6468","6457","6460","6468","6457","6460","6468","0"
"262168","石製綠洲公館","0","","0","0","1","0","0","24","1","6370","6397","6409","6418","6457","6460","6468","6457","6460","6468","6457","6460","6468","0"
"262169","木製綠洲別墅","0","","0","0","1","0","0","24","2","6371","6398","6407","6416","6457","6460","6469","6457","6460","6469","6457","6460","6469","6469"
"262170","混合制綠洲別墅","0","","0","0","1","0","0","24","2","6372","6399","6408","6417","6457","6460","6469","6457","6460","6469","6457","6460","6469","6469"
"262171","石製綠洲別墅","0","","0","0","1","0","0","24","2","6373","6400","6409","6418","6457","6460","6469","6457","6460","6469","6457","6460","6469","6469"
"262172","","0","","0","0","1","0","0","0","0","0","0","0","0","6455","6458","6461","0","0","0","0","0","0","0"
