"0","61762","0","未設定"
"1","61801","20","迷宮挑戰"
"2","61804","21","討伐殲滅戰"
"3","61802","22","大型任務"
"4","61832","23","絕境戰"
"5","61824","30","深層迷宮"
"6","61837","31","特殊地圖探索"
"7","61806","40","玩家對戰"
"8","61836","51","青魔法師"
"9","61808","52","尋寶"
"10","61819","53","魔物狩獵"
"11","61816","100","製作"
"12","61755","101","採礦/園藝"
"13","61756","102","釣魚"
"14","61757","10","主線任務"
"15","61820","54","金碟遊樂場"
"16","61807","50","隨機任務"
"17","61752","150","練級"
"18","61751","151","角色扮演"
"19","61754","153","硬核玩家"
"20","61753","152","休閒玩家"
"21","61823","154","新人"
"22","61760","155","指導者"
"23","61758","200","賺錢"
"24","61764","205","集體動作"
"25","61759","204","投影"
"26","61763","203","樂器演奏"
"27","61765","206","聊天"
"28","61761","202","房屋"
"29","61766","207","玩家自辦活動"
"30","61767","201","アチーブメント収集"
"31","61846","32","特殊迷宮探索"
"32","61768","55","多瑪方城戰"
"33","61847","56","無人島開拓"
