"0","TEXT_CMNRADENTERSHPOSHAE_00077_DPERJHA_1","この奥「サスタシャ浸食洞」は<hex:02100103>「イエロージャケット第四陸戦隊」の管轄である。"
"1","TEXT_CMNRADENTERSHPOSHAE_00077_Q1_1","用件は？"
"2","TEXT_CMNRADENTERSHPOSHAE_00077_A1_1","「天然要害サスタシャ浸食洞」の開始条件について聞く"
"3","TEXT_CMNRADENTERSHPOSHAE_00077_A1_2","「天然要害サスタシャ浸食洞」を開始する"
"4","TEXT_CMNRADENTERSHPOSHAE_00077_A1_3","キャンセル"
"5","TEXT_CMNRADENTERSHPOSHAE_00077_DPERJHA_5","「サスタシャ浸食洞」は、特別危険区域に指定されている。<hex:02100103>人数と参加資格に制限があるため、気をつけよ。"
"6","TEXT_CMNRADENTERSHPOSHAE_00077_SYSTEM_6","「天然要害サスタシャ浸食洞」を開始するためには、<hex:02100103>ファイター＆ソーサラーのレベル15以上のプレイヤー4名で<hex:02100103>パーティを組む必要があります。"
"7","TEXT_CMNRADENTERSHPOSHAE_00077_SYSTEM_7","（地球時間）90分が経過すると<hex:02100103>強制的に「天然要害サスタシャ浸食洞」は終了します。"
"8","TEXT_CMNRADENTERSHPOSHAE_00077_SYSTEM_8","また、クエスト「サスタシャに挑む者」を受注し、<hex:02100103>特定の手順まで進めておく必要があります。<hex:02100103>なお、レベル19以上の場合、攻略中はレベル18扱いとなります。"
"9","TEXT_CMNRADENTERSHPOSHAE_00077_SYSTEM_9","戦利品が残っている状態で「サスタシャ浸食洞」から出ると<hex:02100103>自動的に、戦利品目録にあるすべてのアイテムを入手します。<hex:02100103>入手できなかったアイテムは破棄されますので、ご注意ください。"
"10","TEXT_CMNRADENTERSHPOSHAE_00077_Q2_1","「天然要害サスタシャ浸食洞」を開始しますか？"
"11","TEXT_CMNRADENTERSHPOSHAE_00077_A2_1","はい"
"12","TEXT_CMNRADENTERSHPOSHAE_00077_A2_2","いいえ"
"13","TEXT_CMNRADENTERSHPOSHAE_00077_SYSTEM_10","<hex:02281DFF18496E7374616E6365436F6E74656E745465787444617461E8020103>「<hex:022815FF10496E7374616E6365436F6E74656E74E8030403>」を開始できませんでした。<hex:02100103>開始条件を確認してください。"
"14","TEXT_CMNRADENTERSHPOSHAE_00077_DPERJHA_20","この奥「サスタシャ浸食洞」は<hex:02100103>「イエロージャケット第四陸戦隊」の管轄である。<hex:02100103>資格無き者を通すわけにはいかない。"
"15","TEXT_CMNRADENTERSHPOSHAE_00077_SYSTEM_20","「天然要害サスタシャ浸食洞」への挑戦資格を得るには<hex:02100103>クエスト「サスタシャに挑む者」を受注し、<hex:02100103>特定の手順まで進めておく必要があります。"
