"0","","0","0","0","0","FF"
"1","フリーカンパニーを結成しました。","0","0","0","1","0"
"2","カンパニーランクが<hex:022003E80203>にアップしました。","0","0","1","1","0"
"3","「<hex:022812FF0D4772616E64436F6D70616E79E8020103>」との友好関係が「<hex:022812FF0D464352657075746174696F6EE8030503>」にアップしました。","1","0","1","1","5"
"4","「<hex:022812FF0D4772616E64436F6D70616E79E8020103>」との友好関係が「<hex:022812FF0D464352657075746174696F6EE8030503>」にアップしました。","1","0","1","1","6"
"5","「<hex:022812FF0D4772616E64436F6D70616E79E8020103>」との友好関係が「<hex:022812FF0D464352657075746174696F6EE8030503>」にアップしました。","1","0","1","1","7"
"6","権利「<hex:02280EFF094643526967687473E8020103>」を獲得しました。","0","0","1","1","0"
"7","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が加入しました。","4","0","0","2","1"
"8","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が加入しました。","4","0","0","2","1"
"9","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が脱退しました。","4","0","0","2","2"
"10","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が脱退しました。","4","0","0","2","2"
"11","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が「<hex:020816E909FF1002280CFF074F626A537472E9090103EB0403>」に就任しました。","4","5","0","2","3"
"12","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が「<hex:020816E909FF1002280CFF074F626A537472E9090103EB0403>」に就任しました。","4","5","0","2","3"
"13","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が「<hex:020816E909FF1002280CFF074F626A537472E9090103EB0403>」に就任しました。","4","5","0","2","3"
"14","「<hex:022812FF0D4772616E64436F6D70616E79E8020103>」に移籍しました。","0","1","0","1","5"
"15","「<hex:022812FF0D4772616E64436F6D70616E79E8020103>」に移籍しました。","0","1","0","1","6"
"16","「<hex:022812FF0D4772616E64436F6D70616E79E8020103>」に移籍しました。","0","1","0","1","7"
"17","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が階級「<hex:020816E909FF1002280CFF074F626A537472E9090103EB0403>」の設定を変更しました。","4","5","0","3","3"
"18","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が階級「<hex:020816E909FF1002280CFF074F626A537472E9090103EB0403>」を追加しました。","4","5","0","3","3"
"19","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が階級「<hex:020816E909FF1002280CFF074F626A537472E9090103EB0403>」を削除しました。","4","5","0","3","3"
"20","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が階級の序列を変更しました。","4","0","0","3","3"
"21","","4","6","1","0","FF"
"22","","4","0","0","0","FF"
"23","","4","0","0","0","FF"
"24","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>がカンパニーボードを更新しました。","4","0","0","3","4"
"25","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>がカンパニープロフィールを更新しました。","4","0","0","3","4"
"26","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>がクレストデザインを変更しました。","4","0","0","3","8"
"27","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が「<hex:022813FF0E436F6D70616E79416374696F6EE8020103>」を獲得しました。","4","0","1","4","9"
"28","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が「<hex:022813FF0E436F6D70616E79416374696F6EE8020103>」を使用しました。","4","0","1","4","9"
"29","このアクティビティは削除されました。","0","0","0","0","4"
