"0","",""
"1","",""
"2","",""
"3","",""
"4","コンテンツの緩和","現在のパッチでは、零式コンテンツに下記の変更が適用されます。<hex:02100103>　・各層の攻略進行度が記録される仕組みが撤廃されます。<hex:02100103>　・参加条件から「進行度」が撤廃されます。<hex:02100103>　・宝箱が必ず出現するようになります。<hex:02100103>　・宝箱から得られるアイテムの週制限が撤廃されます。<hex:02100103>"
"5","マッチング条件","<hex:024804F201FA03><hex:024904F201FB03>マッチング条件<hex:0249020103><hex:0248020103><hex:02100103>「コンプリート済み」は該当コンテンツを過去に一度でも<hex:02100103>コンプリートしたことがある場合のみ選択可能になります。<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>目的<hex:0249020103><hex:0248020103><hex:02100103>「コンプリート目的」は報酬が未取得時のみ選択可能になります。<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>練習フェーズの指定<hex:0249020103><hex:0248020103><hex:02100103>目的が「練習」の場合のみ選択可能になります。<hex:02100103>実際にフェーズをスキップするものではありません。<hex:02100103><hex:02100103>参加申請中にリセット時間を跨ぐと、申請がキャンセルされます。"
"6","進行度の記録","零式コンテンツの攻略進行度は、プレイヤーごとに特定の<hex:02100103>タイミングで記録され、再開時に続きから攻略することができます。<hex:02100103> <hex:02100103>進行度の記録は<hex:024804F201FA03><hex:024904F201FB03><hex:020603120303><hex:020925DDFF04E697A5FF04E69C88FF04E781ABFF04E6B0B4FF04E69CA8FF04E98791FF04E59C9F03>曜日の<hex:020814E0DB0DFF07E58D88E5BE8CFF07E58D88E5898D03><hex:020821DBFF1D020919DB02030405060708090A0B0C0102030405060708090A0B0C030103>時（地球時間）<hex:0249020103><hex:0248020103>にリセットされます。"
"7","進行度による報酬取得制限","零式コンテンツにおいて自分の進行度未満の地点では、<hex:02100103>報酬を得られません。<hex:02100103><hex:02100103>コンテンツを攻略済みのメンバー数により、宝箱の出現数および報酬量が変動します。 <hex:02100103>　・攻略済みのメンバーが０人：宝箱１個 <hex:02100103>　・攻略済みのメンバーが１～４人：宝箱１個 （報酬量減少）<hex:02100103>　・攻略済みのメンバーが５人以上：宝箱０個 <hex:02100103> <hex:02100103>1人もしくは8人未満のパーティで参加した場合、マッチング先のメンバーの進行度により宝箱の出現数および報酬量が変動する可能性があります。 <hex:02100103>"
"8","ジョブ構成","零式コンテンツでのパーティはジョブ重複なしで構成されます。<hex:02100103>　・DPSは[近接][遠隔物理][遠隔魔法][指定なし]の構成になります。<hex:02100103><hex:02100103>目的の設定次第で「DPS：指定なし」のジョブ重複が決定されます。<hex:02100103>　・コンプリート目的：ジョブ重複不可 <hex:02100103>　・練習：ジョブ重複可<hex:02100103><hex:02100103>零式コンテンツにてマッチングを利用して申請を行う場合、<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>[ピュアヒーラー]または[バリアヒーラー]のどちらかが2人以上いる<hex:02100103>パーティでは申請できません。<hex:0249020103><hex:0248020103><hex:02100103>　・ピュアヒーラー：白魔道士・占星術師<hex:02100103>　※自身やパーティメンバーのＨＰを回復することを最も得意とする<hex:02100103>　　ジョブ。<hex:02100103>　・バリアヒーラー：学者・賢者<hex:02100103>　※自身やパーティメンバーに対して、一定量のダメージを防ぐ<hex:02100103>　　バリア効果を付与することを最も得意とするジョブ"
"9","パーティ参加での進行度","零式コンテンツの攻略開始地点は、パーティリーダーの<hex:02100103>攻略進行度によって決定されます。<hex:02100103><hex:02100103>開始条件を満たしていれば、リーダーと進行度の異なるメンバーも、<hex:02100103>同行させることができます。<hex:02100103>　・リーダーより進行度が進んでいない場合、進行度は更新されます。<hex:02100103>　・リーダーより進行度が進んでいる場合、進行度は更新されません。"
