"0","FF","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","False"
"1","0","STR","片手剣・両手斧・両手剣・ガンブレード・格闘武器・両手槍・刀・両手鎌・呪具・魔道書・細剣・幻具・天球儀・賢具・青魔器による物理攻撃力に影響を与えます。","12","100","40","85","135","85","0","135","85","67","67","67","67","140","70","220","440","0","220","525","355","355","220","90","100","100","100","70","70","70","100","70","100","100","70","70","False"
"2","1","DEX","双剣・弓・銃・投擲武器による物理攻撃力に影響を与えます。","13","100","40","85","135","85","0","135","85","67","67","67","67","140","70","220","440","0","220","525","355","355","220","90","70","70","70","100","70","70","100","70","100","70","100","100","False"
"3","2","VIT","最大HPに影響を与えます。","14","100","40","85","135","85","0","135","85","67","67","67","67","140","70","220","440","0","220","525","355","355","220","90","100","100","100","100","90","90","100","90","100","100","100","100","False"
"4","3","INT","「DPS」ロールの攻撃魔法威力に影響を与えます。","15","100","40","85","135","85","0","135","85","67","67","67","67","140","70","220","440","0","220","525","355","355","220","90","70","70","70","70","100","70","70","100","100","70","70","70","False"
"5","4","MND","回復魔法威力と「Healer」ロールの攻撃魔法威力に影響を与えます。","16","100","40","85","135","85","0","135","85","67","67","67","67","140","70","220","440","0","220","525","355","355","220","90","70","70","70","70","70","100","70","100","100","70","70","70","False"
"6","5","信仰","ＭＰの自然回復量に影響を与えます。<hex:02100103>信仰が高いほど回復量が増加します。<hex:02100103>「Healer」ロールかつ戦闘中にのみ効果を発揮します。","25","100","40","85","135","85","0","135","85","67","67","67","67","140","70","220","440","0","220","525","355","355","220","90","70","70","70","70","70","100","70","70","100","70","70","70","False"
"7","6","HP","","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","False"
"8","7","MP","","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","False"
"9","8","TP","","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","False"
"10","9","GP","","35","20","20","20","20","20","0","20","40","250","250","250","130","20","20","40","80","0","40","100","60","60","40","100","100","100","100","100","100","100","100","100","100","100","100","100","False"
"11","A","CP","","32","20","20","30","20","30","30","30","30","250","250","250","130","20","20","50","110","0","60","140","80","80","50","100","100","100","100","100","100","100","100","100","100","100","100","100","False"
"12","FF","物理基本性能","","1","1000","0","0","0","0","0","0","0","0","0","0","0","1000","500","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","50","100","100","100","False"
"13","FF","魔法基本性能","","2","1000","0","0","0","0","0","0","0","0","0","0","0","1000","500","0","0","0","0","0","0","0","0","50","50","50","50","50","100","100","50","100","30","50","50","50","False"
"14","B","攻撃間隔","","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","False"
"15","FF","追加効果","","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","False"
"16","FF","攻撃回数","","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","False"
"17","FF","ブロック発動力","","3","0","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","50","50","100","50","100","100","100","100","False"
"18","FF","ブロック性能","","4","0","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","50","50","100","50","100","100","100","100","False"
"19","C","不屈","物理・魔法攻撃により与えるダメージ量や回復量と、自身が受けるダメージ量に影響を与えます。<hex:02100103>不屈が高いほど与えるダメージ量と回復量が増加し、自身が受けるダメージ量が減少します。<hex:02100103>「Tank」ロールにのみ効果を発揮します。","24","100","40","85","135","85","0","135","85","67","67","67","67","140","70","220","440","0","220","525","355","355","220","100","100","100","100","100","100","100","100","100","100","100","100","100","False"
"20","D","物理攻撃力","物理攻撃によるダメージ量に影響を与えます。<hex:02100103>物理攻撃力が高いほど、物理攻撃で与えるダメージが大きくなります。","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","100","False"
