"0","0","","","","","0","0","0","0","0","0","0","0","0","0","False","False"
"1","1004746","敵の視界に注意しつつ、魔物をせん滅せよ！","同じ集団に属す魔物はリンクする。複数の集団に、<hex:02100103>同時に狙われないよう、敵の視界を意識して戦え！<hex:02100103>一部の敵が使う、こちらを吹き飛ばす技には要注意だ！","グゥーブーに気づかれると、すべての敵が攻撃してくる！<hex:02100103>辺りを見回すグゥーブーの視界に入らないよう注意しつつ<hex:02100103>周囲の敵から各個撃破せよ！","魔物を相手とした実戦形式の訓練を行う。<hex:02100103>次々と現れる魔物をせん滅せよ。<hex:02100103>パーティメンバー同士の連携を意識して戦え！<hex:02100103><hex:02100103>魔物の視界に入れば、襲われることになる。<hex:02100103>乱戦にならないよう、敵の視界や己の立ち位置に<hex:02100103>注意しながら、各個撃破していくのが得策だ。","1640","330","1120","50","0","0","0","0","0","0","False","False"
"2","1004742","増援を呼びつつ戦う、ボックマンを倒せ！","ボックマンはHPが減ると増援を呼ぶ！<hex:02100103>盾役は、敵の敵視を稼ぎつつ、DPSと分担して戦え！<hex:02100103>※盾役（タンク）：体力が高く、敵の攻撃を受け持つ役","多数の敵を相手に戦い続けるのは危険だ！<hex:02100103>DPSは、増援を優先して倒し頭数を減らせ！<hex:02100103>※DPS：攻撃力が高く、敵へのダメージを担う役","タムタラの墓所周辺に徘徊する死霊を討伐せよ。<hex:02100103>特に巨体を誇る鎧武者の死霊、ボックマンには<hex:02100103>注意が必要だ。心してかかれ。<hex:02100103><hex:02100103>ボックマンは己が危機に陥ると、さらなる死霊を<hex:02100103>呼び寄せるため長期戦は禁物だ。また奴は広範囲を<hex:02100103>なぎ払う攻撃を得意とする。散開しつつ戦え！","1710","340","1160","50","0","0","0","0","0","0","False","False"
"3","1004744","3つの扉を突破し、最深部のレッジリーパーを倒せ！","基本的に敵をせん滅して、安全を確保すれば扉は開く。<hex:02100103>ただし、レバーを引かなければ開かない扉もある。","最深部に到着すると、ヤーゾンが岩壁を打ち破り始める。<hex:02100103>時間との勝負になると心得よ！","敵拠点の攻略を想定した、実戦形式の訓練を行う。<hex:02100103>魔物を排除しつつ3つの扉を突破して進み、<hex:02100103>最深部で待ち受けるレッジリーパーを討伐せよ。<hex:02100103><hex:02100103>なお、最深部では岩壁の内側にヤーゾンを放っている。<hex:02100103>目標の討伐に手こずると、岩壁を打ち破って<hex:02100103>ヤーゾンがなだれ込んでくるだろう。速攻を心がけよ。","3110","620","1740","80","0","0","0","0","0","0","False","False"
"4","1004744","弱らせたギルガメを誘導し、罠を使って捕獲せよ！","盗賊たちはギルガメを回復し続ける。<hex:02100103>ギルガメを誘導し、盗賊たちから引き離せ！","ファイアスプライトを倒して「核」を入手し、香草に着火。<hex:02100103>睡眠ガスが発生したら、ギルガメを誘導して捕縛せよ！","大富豪テレジ・アデレジ氏のペット「ギルガメ」が、<hex:02100103>身代金を目的とした盗賊団に誘拐された。<hex:02100103>依頼主は対象を生きたまま取り戻すことを望んでいる。<hex:02100103><hex:02100103>燃やすと睡眠ガスが発生する香草を用意した。<hex:02100103>「ファイアスプライトの核」で着火し睡眠ガスを発生させ、<hex:02100103>弱らせたギルガメに吸わせれば、生け捕りにできるだろう。","3240","640","1810","80","0","0","0","0","0","0","False","False"
"5","1004742","次々に広がる猛毒地帯を避けつつ戦え！","「毒花粉霧」の内側に入るとダメージを受ける！<hex:02100103>無駄なダメージを受けないように注意しろ！","敵が「毒花粉霧」の中にいる場合は誘い出せ！<hex:02100103>こちらに向かい「毒花粉霧」を放たれた場合は退避せよ！","周辺の動植物に被害を与える、有毒妖花を駆除せよ！<hex:02100103>問題の妖花は、強い毒性を帯びた花粉をまき散らす。<hex:02100103><hex:02100103>霧状に広がる「毒花粉霧」に近づくと、猛毒状態となり<hex:02100103>体力を奪われてしまう。次々と広がる「毒花粉霧」の<hex:02100103>位置に注意しつつ、安全な場所に敵を誘い出して戦え！","3760","750","2280","110","0","0","0","0","0","0","False","False"
"6","1004742","回復役に注意しつつ、敵集団を各個撃破せよ！","少しでも近づくと、敵は気づき攻撃をしかけてくる。<hex:02100103>一度に多数の敵に攻撃されないよう、慎重に戦え！","敵の集団には、回復役の幻術士がいる。<hex:02100103>放置すると戦いが長引くため、優先的に倒せ！","新たな拠点を作るため、トトラクの千獄付近に<hex:02100103>集結した無法者集団「似我蜂団」を撃滅せよ！<hex:02100103><hex:02100103>敵の頭目を攻撃すると、増援を呼ばれる危険がある。<hex:02100103>まずは巡回する敵の動きと、回復を担う幻術士に<hex:02100103>注意しつつ、少人数の敵集団を各個撃破せよ。<hex:02100103>つねに敵増援の到着を警戒しつつ、慎重に戦え！","4350","870","2500","120","0","0","0","0","0","0","False","False"
"7","1004742","状態異常に注意しつつ、押し寄せる敵に対処せよ！","状態異常は、特定のアイテムや「エスナ」で<hex:02100103>解除できる。つねに自分と味方の状態に気を配れ！","強力な夢幻のブラキシオを抑える役と<hex:02100103>敵増援に対処する役とを分担して対処せよ！","敵対的なシルフ族の一味が南部森林に現れ、<hex:02100103>周辺の魔物を魔法で惑わし、従わせてしまった。<hex:02100103>現場に急行し、頭目である夢幻のブラキシオを討て！<hex:02100103><hex:02100103>シルフ族が従えた魔物は、いずれも体調に悪影響を<hex:02100103>およぼす攻撃を得意とする。広範囲を攻撃できる<hex:02100103>魔物が含まれるため、乱戦を避けるのが得策だ。","4400","880","2800","140","0","0","0","0","0","0","False","False"
"8","1004742","爆弾に注意しつつ、バリケードを破壊し敵を倒せ！","投下された爆弾は、数秒後に爆発する。<hex:02100103>爆発に巻き込まれない位置まで、急いで離れろ！","道を遮るバリケードは攻撃できる。<hex:02100103>ダメージを与えて、HPを0にすれば破壊可能だ！","ゴブリン族の不法集団が地神の忘却を占拠した。<hex:02100103>奴らが築いたバリケードを破壊し、敵を一掃せよ！<hex:02100103><hex:02100103>問題の集団は、時限式の爆弾を所持している。<hex:02100103>投げ落とされた爆弾は、数秒後に爆発するので<hex:02100103>急ぎ回避せよ。なお、奴らの爆弾を逆手に取り、<hex:02100103>バリケードの破壊に利用するのもいいだろう。","4590","910","2920","140","0","0","0","0","0","0","False","False"
"9","1004746","2種類の泡を対処しつつ、トキシック・タムリンを倒せ！","水色の泡「ロトンバブル」を放置すると、魔物が生まれる。<hex:02100103>魔物が出現する前に、泡を攻撃して叩き割れ！","紫色の泡「アシッドバブル」は攻撃するな！<hex:02100103>叩き割れんうえ、酸が飛散し痛い目を見るぞ！","「愚か者の滝」に穢れた巨大モルボル、<hex:02100103>トキシック・タムリンが現れ、水質を汚染している。<hex:02100103>この汚染が広域に広がる前に、何としても討伐せよ！<hex:02100103><hex:02100103>なお、汚染された水源からは、<hex:02100103>酸性の液体を飛散させる泡や、魔物を生み出す泡が<hex:02100103>発生している。周囲の泡に気を配りつつ戦え！","7480","1490","3480","180","0","0","0","0","0","0","False","False"
