"0","","0","0","0"
"1","PvPチーム「<hex:020816E909FF1002280CFF074F626A537472E9090103EB0403>」が結成されました。","0","1","0"
"2","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が加入しました。","2","0","0"
"3","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が脱退しました。","2","0","0"
"4","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>が脱退しました。","2","0","0"
"5","","2","0","0"
"6","","2","0","0"
"7","チーム名が「<hex:020816E909FF1002280CFF074F626A537472E9090103EB0403>」に変更されました。","0","1","0"
"8","チームクレストが変更されました。","0","0","0"
"9","チームの階級が「<hex:020816E909FF1002280CFF074F626A537472E9090103EB0403>」に昇級しました。","0","3","0"
"10","チームの階級が「<hex:020816E909FF1002280CFF074F626A537472E9090103EB0403>」に降級しました。","0","3","0"
"11","新たなシーズンが開始されました。","0","0","0"
"12","一定期間リーダーが不在のためリーダーが<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>に委譲されました。","2","0","0"
"13","<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>がサブリーダーに任命されました。","2","0","0"
"14","リーダーが<hex:020816E908FF1002280CFF074F626A537472E9080103EB0303>に委譲されました。","2","0","0"
