"0",""
"1","このアイテムは<hex:024804F201FC03><hex:024904F201FD03>撤去してもアイテムに戻すことはできません。<hex:0249020103><hex:0248020103>撤去してよろしいでしょうか？"
"2","<hex:022812FF0D454E70635265736964656E74E8020103>を解雇します。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>設定されていた外見情報はリセットされ、雇用証書として所持品に戻ります。<hex:0249020103><hex:0248020103><hex:02100103>解雇してよろしいでしょうか？"
"3","<hex:022903EA0203>のリテイナーを撤去します。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>設定されていた外見情報はリセットされ、営業証書として所持品に戻ります。<hex:0249020103><hex:0248020103><hex:02100103>撤去してもよろしいでしょうか？"
"4","あと<hex:022003E80203>回、食事を摂れます。<hex:02100103>このアイテムは<hex:024804F201FC03><hex:024904F201FD03>撤去してもアイテムに戻すことはできません。<hex:0249020103><hex:0248020103>撤去してよろしいでしょうか？"
"5","この調度品を撤去します。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※挿しているアイテムがある場合、そのアイテムは消滅します。<hex:0249020103><hex:0248020103><hex:02100103>撤去してもよろしいですか？"
"6","水槽を撤去すると、<hex:02100103>水槽内のアイテムは消滅します。<hex:02100103>本当によろしいですか？"
"7","この調度品を撤去します。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※絵画が設定されている場合、そのアイテムは消滅します。<hex:0249020103><hex:0248020103><hex:02100103>撤去してもよろしいですか？"
"8","この調度品を撤去します。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※壁紙が設定されている場合、そのアイテムは消滅します。<hex:0249020103><hex:0248020103><hex:02100103>撤去してもよろしいですか？"
"9","倉庫から所持品に雇用証書を戻します。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>設定されていた外見情報はリセットされます。<hex:0249020103><hex:0248020103><hex:02100103>よろしいでしょうか？"
"10","倉庫から<hex:022903EA0203>のリテイナーを取り出し、営業証書を所持品に戻します。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>設定されていた外見情報はリセットされます。<hex:0249020103><hex:0248020103><hex:02100103>よろしいでしょうか？"
"11","あと<hex:022003E80203>回、食事を摂れます。<hex:02100103>このアイテムは<hex:024804F201FC03><hex:024904F201FD03>倉庫から取り出してもアイテムに戻すことはできません。<hex:0249020103><hex:0248020103>撤去してもよろしいでしょうか？"
"12","倉庫からこの調度品を取り出し、所持品に戻します。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※挿しているアイテムがある場合、そのアイテムは消滅します。<hex:0249020103><hex:0248020103><hex:02100103>よろしいですか？"
"13","倉庫から水槽を取り出すと、<hex:02100103>水槽内のアイテムは消滅します。<hex:02100103>本当によろしいですか？"
"14","倉庫からこの調度品を取り出し、所持品に戻します。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※絵画が設定されている場合、そのアイテムは消滅します。<hex:0249020103><hex:0248020103><hex:02100103>よろしいですか？"
"15","倉庫からこの調度品を取り出し、所持品に戻します。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※壁紙が設定されている場合、そのアイテムは消滅します。<hex:0249020103><hex:0248020103><hex:02100103>よろしいですか？"
"16","<hex:022812FF0D454E70635265736964656E74E8020103>を解雇します。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>設定されていた外見情報はリセットされ、雇用証書として所持品に戻ります。<hex:0249020103><hex:0248020103><hex:02100103>解雇してよろしいでしょうか？"
"17","この調度品を撤去します。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※魚拓が設定されている場合、そのアイテムは消滅します。<hex:0249020103><hex:0248020103><hex:02100103>撤去してもよろしいですか？"
"18","倉庫からこの調度品を取り出し、所持品に戻します。<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※魚拓が設定されている場合、そのアイテムは消滅します。<hex:0249020103><hex:0248020103><hex:02100103>よろしいですか？"
