"0","","","405","0","0","False","True","False"
"1","帰還","ペットを帰還させる。","530","0","0","False","True","False"
"2","追従","ペットを自身に追従させる。","529","0","0","False","True","False"
"3","移動","ペットを指定地点まで移動させる。","527","0","0","False","True","False"
"4","待機","ペットをその場で待機させる。","528","0","0","False","True","False"
"5","インターセプト","ペットに、自分が攻撃を行うか、自分が攻撃を受けるまで戦闘しないように命令する。","531","0","0","False","True","False"
"6","ピース","ペットに、自分が指示を出すまで戦闘しないように命令する。","532","0","0","False","True","False"
"7","フリーファイト","ペットに攻撃させる。","786","0","0","True","False","False"
"8","セミオーダー","ペットに攻撃させる。ただし、一部のアクションは命令を受けるまで実行しない。","786","0","0","True","False","False"
"9","ガスト","対象に風属性魔法攻撃。　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>90","786","637","1","True","False","False"
"10","ふきとばし","対象に風属性魔法攻撃。　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>80<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加効果：<hex:0249020103><hex:0248020103>対象を15mノックバックする<hex:02100103><hex:024804F201F403><hex:024904F201F503>「セミオーダー」<hex:0249020103><hex:0248020103>状態では命令を受けるまで実行しない。<hex:0249020103><hex:0248020103>","786","638","1","True","False","False"
"11","ダウンバースト","対象とその周囲の敵に風属性範囲魔法攻撃。　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>80<hex:02100103><hex:024804F201F403><hex:024904F201F503>「セミオーダー」<hex:0249020103><hex:0248020103>状態では命令を受けるまで実行しない。<hex:0249020103><hex:0248020103>","786","639","1","True","False","False"
"12","エメラルドの輝き","一定時間、対象が受ける魔法ダメージを10％上昇させる。<hex:02100103><hex:024804F201F803><hex:024904F201F903>効果時間：<hex:0249020103><hex:0248020103>15秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>「セミオーダー」<hex:0249020103><hex:0248020103>状態では命令を受けるまで実行しない。","786","640","1","True","False","False"
"13","ひっかき","対象に土属性魔法攻撃。　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>70<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加効果：<hex:0249020103><hex:0248020103>敵視アップ","786","633","2","True","False","False"
"14","トパーズの輝き","自身の周囲の敵に土属性範囲魔法攻撃。　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>60<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加効果：<hex:0249020103><hex:0248020103>敵視アップ<hex:02100103><hex:024804F201F403><hex:024904F201F503>「セミオーダー」<hex:0249020103><hex:0248020103>状態では命令を受けるまで実行しない。","786","634","2","True","False","False"
"15","かたまり","一定時間、ペット自身の被ダメージを20％軽減させる。<hex:02100103><hex:024804F201F803><hex:024904F201F903>効果時間：<hex:0249020103><hex:0248020103>20秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>「セミオーダー」<hex:0249020103><hex:0248020103>状態では命令を受けるまで実行しない。<hex:0249020103><hex:0248020103>","786","635","2","True","False","False"
