"0","0","0","0","0","0","0","0","0","",""
"1","20","0","30","3","1","1","1","15","ポンポンファイア","モーグリの前方にいる敵1体に<hex:022003E80203>ダメージを与える。<hex:02100103>消費MP：<hex:022003E80403>　リキャストターン：<hex:022003E80503>"
"2","10","8","40","4","3","3","2","25","ポンポンプチメテオ","モーグリから<hex:022003E80303>マス前方の1マスとその周囲の敵に<hex:022003E80203>ダメージを与える。<hex:02100103>消費MP：<hex:022003E80403>　リキャストターン：<hex:022003E80503>"
"3","15","0","80","10","0","0","3","50","ポンポンメテオ","すべての敵に<hex:022003E80203>ダメージを与える。<hex:02100103>消費MP：<hex:022003E80403>　リキャストターン：<hex:022003E80503>"
"4","50","0","10","1","0","0","4","0","ポンポンケアル","モーグリのHPを<hex:022003E80203>回復する。<hex:02100103>消費MP：<hex:022003E80403>　リキャストターン：<hex:022003E80503>"
"5","0","0","20","3","0","0","5","0","ポンポンエスナ","モーグリにかかった死の宣告以外の弱体効果をすべて解除する。<hex:02100103>消費MP：<hex:022003E80403>　リキャストターン：<hex:022003E80503>"
"6","0","0","30","3","0","0","6","0","ポンポンバリア","モーグリを対象として、ダメージを防ぐバリアを張る。<hex:02100103>効果ターン：<hex:022003E80603><hex:02100103>消費MP：<hex:022003E80403>　リキャストターン：<hex:022003E80503>"
"7","0","0","20","3","0","0","7","0","ポンポンレビテト","モーグリが浮遊し、床の影響を受けなくなる。<hex:02100103>効果ターン：<hex:022003E80603><hex:02100103>消費MP：<hex:022003E80403>　リキャストターン：<hex:022003E80503>"
"8","0","0","50","99","0","0","8","0","ポンポンリレイズ","効果中に戦闘不能になると自動的に蘇生する。<hex:02100103>効果ターン：永続<hex:02100103>消費MP：<hex:022003E80403>　リキャストターン：<hex:022003E80503>"
"9","100","0","0","0","0","0","0","0","",""
"10","100","0","0","0","0","0","0","0","",""
"11","0","0","0","0","0","0","0","0","",""
"12","0","0","0","0","0","0","0","0","",""
"13","100","0","0","0","0","7","0","0","",""
"14","10","2","0","0","0","1","0","0","",""
"15","100","0","0","0","0","1","0","0","",""
"16","0","0","0","0","0","0","0","0","",""
"17","0","0","0","0","0","0","0","0","",""
"18","9999","0","0","0","0","0","0","0","",""
