"1","1","0","0","0","0","/record","","/replay(/record)<hex:02100103>コンテンツリプレイのメニューを開く。","/replay","","32","0"
"2","2","1","0","0","0","/recordready","","/replayready(/recordready) サブコマンド<hex:02100103>リプレイレディチェックの操作を行う。<hex:02100103>>>サブコマンド<hex:02100103>“秒数(5-30)”<hex:02100103>　…リプレイレディチェックを実行し、全員が「はい」を押したら指定した秒数で戦闘開始カウントを実行する。リプレイ記録の確認完了後に使用した場合は、基本の「レディチェック＋戦闘開始カウント」として機能する。<hex:02100103>※サブコマンド省略<hex:02100103>　…リプレイレディチェックのメニューを開く。","/replayready","","0","0"
"3","1","0","0","0","0","/pvpteamcmd","","/pvpteamcmd<hex:02100103>PvPチームのメニューを開く。","","","0","0"
"4","1","0","0","0","0","/saddlebag","","/chocobobag(/saddlebag)<hex:02100103>チョコボかばんのメニューを開く。","/chocobobag","","0","0"
"5","1","0","0","0","0","/magiaright","","/magiaright<hex:02100103>マギアボードを時計回りに回転する。<hex:02100103>","","","0","0"
"6","1","0","0","0","0","/magialeft","","/magialeft<hex:02100103>マギアボードを反時計回りに回転する。<hex:02100103>","","","0","0"
"7","1","0","0","0","0","/cwlinkshellcmd","/cwlcmd","/cwlinkshellcmd(/cwlcmd)<hex:02100103>クロスワールドリンクシェルのメニューを開く。","","","0","0"
"8","3","1","11","0","0","/quickchat","/qchat","/quickchat(/qchat) クイックチャット 代名詞<hex:02100103>クイックチャットを送信する。<hex:02100103>※クリスタルコンフリクト内でのみ送信可能。<hex:02100103>実行例<hex:02100103>/quickchat 号令：攻撃<hex:02100103>　…クイックチャット「号令：攻撃」を送信する。<hex:02100103>/quickchat 攻撃：ターゲット <t><hex:02100103>　…ターゲット中のキャラクターを対象としてクイックチャット「攻撃：ターゲット」を送信する。","","","1021","0"
"9","4","3","2","12","2","/bluespellbook","","/bluespellbook サブコマンド<hex:02100103>青魔法のアクティブアクションの設定を行う。<hex:02100103>>>サブコマンド<hex:02100103>set 青魔法名 on<hex:02100103>　…指定した青魔法をアクティブアクションに登録する。<hex:02100103>set 青魔法名 off<hex:02100103>　…指定した青魔法をアクティブアクションから解除する。<hex:02100103>preset アクティブセット番号(1-5)<hex:02100103>　…アクティブセットを指定した番号に置き換える。<hex:02100103>clear<hex:02100103>　…現在のアクティブセットのアクションを全解除する。<hex:02100103>※サブコマンド省略<hex:02100103>　…青魔道書を開く。<hex:02100103><hex:02100103>実行例<hex:02100103>/bluespellbook set 水鉄砲<hex:02100103>　…青魔法「水鉄砲」をアクティブアクションに登録／解除する。<hex:02100103>/bluespellbook preset 2<hex:02100103>　…アクティブアクションをアクティブセット2に置き換える。","","","36","0"
"10","2","1","2","0","0","/magiaattack","","/magiaattack 代名詞<hex:02100103>マギアボードの属性を選択対象の「反属性」に切り替える。代名詞は省略可能。<hex:02100103><hex:02100103>実行例<hex:02100103>/magiaattack <t><hex:02100103>　…マギアボードをターゲット対象の反属性に切り替える。","","","0","0"
