"0","TEXT_JOBSCH580_01675_SEQ_00","ワンダラーパレスのスリト・カリトは、冒険者に頼みたいことがあるようだ。"
"1","TEXT_JOBSCH580_01675_SEQ_01","スリト・カリトが求める、妖異に関する研究書は、呪術士ギルドに所蔵されている可能性が高い。ウルダハの呪術士ギルドにいる「ヤヤケ」と話そう。"
"2","TEXT_JOBSCH580_01675_SEQ_02","ヤヤケによると、「姿を消す妖異」について記した古文書の持ち主は、クルザスで消息を絶ったらしい。クルザス西部高地のファルコンネストにいる「レッドワルド」に話を聞こう。"
"3","TEXT_JOBSCH580_01675_SEQ_03","レッドワルドと話した。ファルコンネストの「スビニー」と話そう。"
"4","TEXT_JOBSCH580_01675_SEQ_04","スビニーと話した。クルザス西部高地の座礁船ノーススター号で、妖異研究者の所持品を見つけよう。"
"5","TEXT_JOBSCH580_01675_SEQ_05","<hex:022811FF0A4576656E744974656DF61E8AB40103>を入手した。ワンダラーパレスのスリト・カリトに「<hex:022811FF0A4576656E744974656DF61E8AB40103>」を渡そう。"
"6","TEXT_JOBSCH580_01675_SEQ_06","スリト・カリトに<hex:022811FF0A4576656E744974656DF61E8AB40103>を渡した。彼は、「消えた妖異」を退治する方法を探している。決戦に向けて、引き続き修行に励もう。<hex:02100103><hex:02100103>※学者のレベルが60以上になると、ワンダラーパレスのスリト・カリトから次の学者クエストを受注することができます。"
"7","TEXT_JOBSCH580_01675_SEQ_07",""
"8","TEXT_JOBSCH580_01675_SEQ_08",""
"9","TEXT_JOBSCH580_01675_SEQ_09",""
"10","TEXT_JOBSCH580_01675_SEQ_10",""
"11","TEXT_JOBSCH580_01675_SEQ_11",""
"12","TEXT_JOBSCH580_01675_SEQ_12",""
"13","TEXT_JOBSCH580_01675_SEQ_13",""
"14","TEXT_JOBSCH580_01675_SEQ_14",""
"15","TEXT_JOBSCH580_01675_SEQ_15",""
"16","TEXT_JOBSCH580_01675_SEQ_16",""
"17","TEXT_JOBSCH580_01675_SEQ_17",""
"18","TEXT_JOBSCH580_01675_SEQ_18",""
"19","TEXT_JOBSCH580_01675_SEQ_19",""
"20","TEXT_JOBSCH580_01675_SEQ_20",""
"21","TEXT_JOBSCH580_01675_SEQ_21",""
"22","TEXT_JOBSCH580_01675_SEQ_22",""
"23","TEXT_JOBSCH580_01675_SEQ_23",""
"24","TEXT_JOBSCH580_01675_TODO_00","呪術士ギルドのヤヤケと話す"
"25","TEXT_JOBSCH580_01675_TODO_01","ファルコンネストのレッドワルドと話す"
"26","TEXT_JOBSCH580_01675_TODO_02","スビニーと話す"
"27","TEXT_JOBSCH580_01675_TODO_03","<hex:02280CFF05454F626AF61E9A150103>から妖異研究者の所持品を入手"
"28","TEXT_JOBSCH580_01675_TODO_04","ワンダラーパレスのスリト・カリトに<hex:022811FF0A4576656E744974656DF61E8AB40103>を渡す"
"29","TEXT_JOBSCH580_01675_TODO_05",""
"30","TEXT_JOBSCH580_01675_TODO_06",""
"31","TEXT_JOBSCH580_01675_TODO_07",""
"32","TEXT_JOBSCH580_01675_TODO_08",""
"33","TEXT_JOBSCH580_01675_TODO_09",""
"34","TEXT_JOBSCH580_01675_TODO_10",""
"35","TEXT_JOBSCH580_01675_TODO_11",""
"36","TEXT_JOBSCH580_01675_TODO_12",""
"37","TEXT_JOBSCH580_01675_TODO_13",""
"38","TEXT_JOBSCH580_01675_TODO_14",""
"39","TEXT_JOBSCH580_01675_TODO_15",""
"40","TEXT_JOBSCH580_01675_TODO_16",""
"41","TEXT_JOBSCH580_01675_TODO_17",""
"42","TEXT_JOBSCH580_01675_TODO_18",""
"43","TEXT_JOBSCH580_01675_TODO_19",""
"44","TEXT_JOBSCH580_01675_TODO_20",""
