"0",""
"1","空手"
"2","小島木屋 I"
"3","小島木屋 II"
"4","小島木屋 III"
"5","開拓工房 I"
"6","開拓工房 II"
"7","開拓工房 III"
"8","屯貨倉庫 I"
"9","屯貨倉庫 II"
"10","屯貨倉庫 III"
"11","荒地"
"12","泥地"
"13","石板地"
"14","荒地"
"15","泥地"
"16","石板地"
"17","坡道"
"18","木製臺階"
"19","石砌臺階"
"20","風車"
"21","樹屋"
"22","溫泉小屋"
"23","燈塔"
"24","獺獺噴泉"
"25","建造地"
"26","無名海濱"
"27","海島廣場"
"28","開拓據點的山丘北"
"29","廣場側面的開拓地"
"30","高臺上的開拓地"
"31","開拓據點的山丘東"
"32","開拓據點的山丘南"
"33","一號耕地"
"34","二號耕地"
"35","三號耕地"
"36","一號牧場"
"37","二號牧場"
"38","三號牧場"
"39","草原"
"40","溪流"
"41","森林"
"42","沙灘"
"43","山"
"44","發芽"
"45","幼苗"
"46","開花"
"47","開拓無人島所需的基礎建築。<hex:02100103>　　　用手頭為數不多的素材費盡心思建造而成。"
"48","開拓無人島所需的骨幹建築。<hex:02100103>　　　在不斷地增建改建過程中，外觀逐漸變得像樣了許多。"
"49","開拓無人島所需的核心建築。<hex:02100103>　　　隨著魔法人偶的建築技術趨於熟練，<hex:02100103>　　　不論是功能性還是外觀都達到了令人滿意的程度。"
"50","新手魔法人偶工匠製作海島產品的設施。<hex:02100103>　　　從外觀上也能看出手工打造的風格。"
"51","中堅魔法人偶工匠製作海島產品的設施。<hex:02100103>　　　從外觀上也能看出它們的手藝值得信賴。"
"52","優秀魔法人偶工匠製作海島產品的設施。<hex:02100103>　　　從外觀上也能感到大師的手藝。"
"53","魔法人偶進行島內探索用的據點兼開拓素材儲存倉庫。<hex:02100103>　　　作為儲藏庫來說，只能算是勉強合格。"
"54","魔法人偶進行島內探索用的據點兼開拓素材儲存倉庫。<hex:02100103>　　　作為儲藏庫來說，達到了不錯的水準。"
"55","魔法人偶進行島內探索用的據點兼開拓素材儲存倉庫。<hex:02100103>　　　作為儲藏庫來說，達到了十分優秀的水準。"
"56","經過整備可以建造建築物的土地。"
"57","風力帶動風車槳旋轉，<hex:02100103>　　　在機械傳動的作用下可以在風車的內部研磨穀物製作各種粉類。<hex:02100103>　　　開拓據點各設施內工作的魔法人偶能力上升。"
"58","利用高度適合的樹木建造的視野寬闊的小屋，<hex:02100103>　　　很適合來此眺望遠方轉換心情。<hex:02100103>　　　開拓據點各設施內工作的魔法人偶能力上升。"
"59","泡在溫泉中感受時間緩緩地流逝，<hex:02100103>　　　讓身心徹底得到放鬆。<hex:02100103>　　　開拓據點各設施內工作的魔法人偶能力上升。"
"60","為經過謝爾達萊群島附近的船隻提供指引的燈塔。<hex:02100103>　　　開拓據點各設施內工作的魔法人偶能力上升。"
"61","以獺獺的形象作為參考，<hex:02100103>　　　能夠讓人感到心情平靜的噴水池。<hex:02100103>　　　開拓據點各設施內工作的魔法人偶能力上升。"
"62","耕地"
"63","牧場"
"64","可以在島內耕種栽培作物的肥沃田地。"
"65","可以放牧飼養島內動物的牧場。"
"66","開拓管理面板"
"67","小島庭園"
"68","流水涓涓，十分溫馨的庭園型地標。<hex:02100103>　　　開拓據點各設施內工作的魔法人偶能力上升。"
