"0","已失效的快捷發言","783","0","0","0"
"1","大家好！","9901","11030","1","1"
"2","辛苦了！","9902","11031","2","2"
"3","謝謝！","9903","11032","3","3"
"4","漂亮！","9904","11033","5","4"
"5","彙報對戰用額外技能1","9927","11034","6","0"
"6","彙報極限技","9906","11035","7","6"
"7","瞄準攻擊補給箱","9907","11036","A","0"
"8","瞄準防禦補給箱","9908","11037","B","0"
"9","瞄準奮戰補給箱","9909","11038","C","0"
"10","瞄準狼心","9910","11039","D","0"
"11","攻擊防護職業","9911","11040","E","0"
"12","攻擊治療職業","9912","11041","F","0"
"13","攻擊近戰職業","9913","11042","10","0"
"14","攻擊遠程職業","9914","11043","11","0"
"15","拖住防護職業","9915","11044","13","0"
"16","拖住治療職業","9916","11045","14","0"
"17","拖住近戰職業","9917","11046","15","0"
"18","拖住遠程職業","9918","11047","16","0"
"19","我來拾取戰章","9919","11048","18","0"
"20","請去拾取戰章","9920","11049","19","0"
"21","麻煩進攻","9921","11050","E","21"
"22","麻煩撤退","9922","11051","10","22"
"23","彙報魔力","9923","11052","6","23"
"24","彙報技力","9924","11053","9","0"
"25","攻擊目標","9925","11054","B","25"
"26","干擾目標","9926","11055","C","26"
"27","彙報對戰用額外技能2","9928","11056","7","0"
"28","麻煩集中攻擊目標","9935","11057","1C","0"
"29","麻煩停止集中攻擊","9936","11058","1D","0"
"30","對不起","9965","11713","4","30"
"31","自身前進","9966","11714","9","31"
"32","自身後撤","9967","11715","A","32"
"33","我來轉移戰術水晶","9968","11716","11","33"
"34","請去轉移戰術水晶","9969","11717","12","34"
"35","掩護目標","9964","11718","D","35"
"36","自身發動極限技","9970","14904","8","36"
"37","麻煩集合","9971","14905","F","37"
