"0","","0","","0","0","0","0","0","",""
"1","二等牙兵","0","","0","0","0","0","0","",""
"2","一等牙兵","0","","0","0","0","0","0","",""
"3","上等牙兵","0","","0","0","0","0","0","",""
"4","牙兵長","0","","0","0","0","0","0","",""
"5","協牙士","0","","0","0","0","0","0","",""
"6","副牙士","0","","0","0","0","0","0","",""
"7","正牙士","0","","0","0","0","0","0","",""
"8","牙士長","0","","0","0","0","0","0","",""
"9","協牙尉","0","","0","0","0","0","0","",""
"10","副牙尉","0","","0","0","0","0","0","",""
"11","正牙尉","0","","0","0","0","0","0","",""
"12","協牙校","0","","0","0","0","0","0","",""
"13","副牙校","0","","0","0","0","0","0","",""
"14","正牙校","0","","0","0","0","0","0","",""
"15","從牙將","0","","0","0","0","0","0","",""
"16","協牙將","0","","0","0","0","0","0","",""
"17","副牙將","0","","0","0","0","0","0","",""
"18","正牙將","0","","0","0","0","0","0","",""
"19","牙蛇將軍","0","","0","0","0","0","0","",""
