"0","TEXT_FESKOR2016_00308_YURI_000_000",""
"1","TEXT_FESKOR2016_00308_MIU_000_000",""
"2","TEXT_FESKOR2016_00308_SHION_000_000",""
"3","TEXT_FESKOR2016_00308_Q1_000_001",""
"4","TEXT_FESKOR2016_00308_A1_000_001",""
"5","TEXT_FESKOR2016_00308_A1_000_002",""
"6","TEXT_FESKOR2016_00308_A1_000_003",""
"7","TEXT_FESKOR2016_00308_A1_000_004",""
"8","TEXT_FESKOR2016_00308_YURI_000_010",""
"9","TEXT_FESKOR2016_00308_YURI_000_011",""
"10","TEXT_FESKOR2016_00308_YURI_000_012",""
"11","TEXT_FESKOR2016_00308_YURI_000_013",""
"12","TEXT_FESKOR2016_00308_YURI_000_014",""
"13","TEXT_FESKOR2016_00308_YURI_000_015",""
"14","TEXT_FESKOR2016_00308_MIU_000_010",""
"15","TEXT_FESKOR2016_00308_MIU_000_011",""
"16","TEXT_FESKOR2016_00308_MIU_000_012",""
"17","TEXT_FESKOR2016_00308_MIU_000_013",""
"18","TEXT_FESKOR2016_00308_MIU_000_014",""
"19","TEXT_FESKOR2016_00308_MIU_000_015",""
"20","TEXT_FESKOR2016_00308_SHION_000_010",""
"21","TEXT_FESKOR2016_00308_SHION_000_011",""
"22","TEXT_FESKOR2016_00308_SHION_000_012",""
"23","TEXT_FESKOR2016_00308_SHION_000_013",""
"24","TEXT_FESKOR2016_00308_SHION_000_014",""
"25","TEXT_FESKOR2016_00308_SHION_000_015",""
"26","TEXT_FESKOR2016_00308_YURI_000_020",""
"27","TEXT_FESKOR2016_00308_YURI_000_021",""
"28","TEXT_FESKOR2016_00308_YURI_000_022",""
"29","TEXT_FESKOR2016_00308_SYSTEM_000_023",""
"30","TEXT_FESKOR2016_00308_SYSTEM_000_024",""
"31","TEXT_FESKOR2016_00308_SYSTEM_000_025",""
"32","TEXT_FESKOR2016_00308_MIU_000_020",""
"33","TEXT_FESKOR2016_00308_MIU_000_021",""
"34","TEXT_FESKOR2016_00308_MIU_000_022",""
"35","TEXT_FESKOR2016_00308_SHION_000_020",""
"36","TEXT_FESKOR2016_00308_SHION_000_021",""
"37","TEXT_FESKOR2016_00308_SHION_000_022",""
"38","TEXT_FESKOR2016_00308_YURI_000_030",""
"39","TEXT_FESKOR2016_00308_YURI_000_031",""
"40","TEXT_FESKOR2016_00308_YURI_000_032",""
"41","TEXT_FESKOR2016_00308_MIU_000_030",""
"42","TEXT_FESKOR2016_00308_MIU_000_031",""
"43","TEXT_FESKOR2016_00308_MIU_000_032",""
"44","TEXT_FESKOR2016_00308_SHION_000_030",""
"45","TEXT_FESKOR2016_00308_SHION_000_031",""
"46","TEXT_FESKOR2016_00308_SHION_000_032",""
